nearest_gene	chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat	annotation	direction	gene_name
LOC_00009294	chr14	22413501	22413937	437	18	0.0717910839573695	0.321040852712178	-0.249249768754809	-127.843564746449	Intergenic	Hypo	
LOC_00025855	chr12	47775172	47775510	339	14	0.431287146848667	0.0300998786047257	0.401187268243941	125.474419368321	Exon	Hyper	Ppp1r13b
LOC_00010399	chr13	38922847	38923398	552	20	0.276098573345187	0.0443908190441906	0.231707754300996	125.196023324855	Exon	Hyper	MIMI_L93
LOC_00012941	chr21	43587203	43588559	1357	19	0.825935047039394	0.54118109466764	0.284753952371754	123.12930370416	Intergenic	Hyper	
LOC_00012273	chr15	54020064	54020832	769	22	0.550582536204367	0.285906403859577	0.26467613234479	120.250413933397	Intergenic	Hyper	NOA1
LOC_00010689	chr13	54595440	54595916	477	25	0.559818916236547	0.318060091735925	0.241758824500621	120.001378389192	Intergenic	Hyper	
LOC_00007190	chr1	123381697	123382249	553	17	0.523893123412552	0.229368273121623	0.294524850290928	117.713039429043	Intron	Hyper	TLE4
LOC_00023700	chr30	25491125	25491581	457	20	0.262145163553372	0.52471078981064	-0.262565626257268	-116.535613350055	Intergenic	Hypo	Fis1
LOC_00014662	chr20	29365280	29366073	794	17	0.347789783605588	0.072524349014164	0.275265434591424	114.850593622892	Intron	Hyper	
LOC_00011514	chr23	30369340	30369814	475	16	0.113462456627265	0.363668141966713	-0.250205685339448	-113.591788697705	Promoter	Hypo	Erlin1
LOC_00022883	chr11	32437505	32437936	432	17	0.702114321734942	0.422774006759412	0.27934031497553	113.384543910441	Intergenic	Hyper	MTUS2
XLOC_021772U_lncRNA	chr17	49978797	49979175	379	19	0.400925440102604	0.200194217092072	0.200731223010532	112.661528262875	Intron	Hyper	
LOC_00023044	chr11	45044685	45044964	280	13	0.500744851920126	0.104109407283865	0.396635444636261	111.291141264286	Intron	Hyper	Klf12
LOC_00018826	chr3	55076826	55077153	328	19	0.0351190025102221	0.238348638288962	-0.20322963577874	-110.17737475572	Intron	Hypo	CDK17
LOC_00007192	chr1	123603098	123603348	251	16	0.347226980312298	0.0283299606791074	0.31889701963319	109.892234346947	Intron	Hyper	AKAP13
LOC_00016436	chr24	9284911	9285431	521	14	0.153515913739675	0.506784599943492	-0.353268686203816	-109.462709305535	Intergenic	Hypo	ZFP2
LOC_00008471	chr22	17818348	17818735	388	18	0.606241291324175	0.322467942421005	0.28377334890317	108.493644848901	Intron	Hyper	cAMP-dependent
LOC_00019327	chr29	20424931	20425620	690	19	0.259340758244609	0.588013588067804	-0.328672829823195	-106.197311876039	Intergenic	Hypo	Slc25a44
LOC_00021127	chr18	38829661	38830024	364	13	0.396693722358295	0.765901117239836	-0.369207394881541	-105.486350739079	Promoter	Hypo	EU4
LOC_00025627	chr12	32388920	32389132	213	19	0.107453264350103	0.309687674831409	-0.202234410481306	-105.031386716584	Intergenic	Hypo	MACROD2
LOC_00015609	chr5	42845535	42846177	643	13	0.412764841773461	0.0178726736676941	0.394892168105767	103.937334296516	Intergenic	Hyper	timm22
LOC_00007999	chr6	57504667	57505096	430	19	0.359662987395724	0.118426724197212	0.241236263198512	102.938242216412	Intergenic	Hyper	ATF2
LOC_00005872	chr1	21381831	21382302	472	13	0.57480050997738	0.128388667904421	0.44641184207296	102.913900060227	Intron	Hyper	MYO1D
LOC_00018452	chr3	29328707	29328986	280	14	0.121319656275601	0.512943992541612	-0.391624336266012	-102.195484385049	Intergenic	Hypo	
LOC_00006224	chr1	45250349	45250844	496	14	0.24078830558661	0.530438564528597	-0.289650258941987	-101.445658251463	Intron	Hypo	CadN
LOC_00017298	chr10	36799352	36799796	445	19	0.25930804645514	0.487495725474533	-0.228187679019393	-101.129057118983	Intron	Hypo	MAM
LOC_00011976	chr15	30735750	30736074	325	19	0.676973932899328	0.875958055627243	-0.198984122727915	-100.926323156506	Intron	Hypo	bbip1
LOC_00011373	chr23	20104823	20105394	572	17	0.294734643714139	0.565879189993949	-0.27114454627981	-100.651674558842	Intergenic	Hypo	TBL3
LOC_00007684	chr6	33853106	33853419	314	18	0.300964377894944	0.10290061071978	0.198063767175165	100.371843547021	Intergenic	Hyper	FDPS
LOC_00003028	chr7	55646042	55646414	373	13	0.184637516256016	0.505622677058365	-0.320985160802349	-99.4706432788298	Intergenic	Hypo	MAST1
LOC_00020115	chr17	54649821	54650141	321	19	0.420335197754254	0.234854362022805	0.185480835731449	98.8751953778254	Intron	Hyper	tmem145
LOC_00024022	chr8	12841612	12842059	448	15	0.0809494151327887	0.313546880153061	-0.232597465020272	-98.3144740565417	Intergenic	Hypo	
LOC_00007195	chr1	123776681	123777616	936	18	0.274968602581848	0.530350824747909	-0.255382222166062	-96.5280761860251	Intron	Hypo	UBA6
LOC_00013471	chr2	33072049	33072317	269	21	0.266578293073245	0.460738602432023	-0.194160309358779	-96.3280977677336	Intron	Hypo	Nrg
LOC_00017399	chr10	45827144	45827496	353	18	0.496193659999351	0.303367366839837	0.192826293159514	96.3056907181108	Intron	Hyper	
LOC_00015783	chr5	52523849	52524367	519	18	0.429601275576826	0.67084166032615	-0.241240384749323	-96.2517759782865	Intergenic	Hypo	YMR196W
LOC_00005512	chr16	55842906	55843345	440	17	0.0697896051832146	0.287417174061214	-0.217627568878	-95.4591324533815	Exon	Hypo	MAP2K6
LOC_00025800	chr12	44057728	44058180	453	15	0.382109198477296	0.765420696005733	-0.383311497528437	-95.1228540999503	Intergenic	Hypo	mldr
LOC_00009652	chr14	46273125	46273325	201	11	0.0420422737225662	0.436351890192717	-0.394309616470151	-94.4397489860306	Intergenic	Hypo	POLK
LOC_00011736	chr15	8926705	8927093	389	15	0.121472431739353	0.357306282561901	-0.235833850822548	-93.4993695495586	Intergenic	Hypo	Mtx1
LOC_00004428	chr25	9229128	9229400	273	20	0.691533090809292	0.51193978987907	0.179593300930223	93.4847609270695	Intron	Hyper	mettl24
LOC_00015098	chr5	13866771	13867264	494	14	0.280902298117289	0.0337530791063784	0.24714921901091	92.9966510920091	Exon	Hyper	zc2hc1a
LOC_00020666	chr18	1785852	1786309	458	17	0.2506370005157	0.523675832635671	-0.273038832119971	-92.1041377518867	Intergenic	Hypo	TPRG1L
LOC_00023195	chr11	56115312	56115746	435	17	0.328988647306336	0.58527380609685	-0.256285158790513	-92.0434029305284	Intron	Hypo	TMEM131
LOC_00005231	chr16	29224333	29224994	662	16	0.311371310328178	0.600957546198333	-0.289586235870155	-91.3827734446708	Intron	Hypo	B3gntl1
LOC_00006638	chr1	77960823	77961352	530	17	0.31222393323539	0.556967691478638	-0.244743758243248	-90.7966229699669	Intron	Hypo	Ash1l
LOC_00020531	chr28	29107453	29107838	386	18	0.591129208453799	0.339683718454335	0.251445489999464	90.4937651234702	Intron	Hyper	TMEM132C
LOC_00017780	chr26	11553491	11554132	642	15	0.230370527617503	0.518263095491279	-0.287892567873776	-90.1254781339708	Intergenic	Hypo	Kpna2
LOC_00015675	chr5	45639703	45640042	340	20	0.235722187421917	0.480521283120824	-0.244799095698907	-89.664152294368	Intron	Hypo	SRL
LOC_00023044	chr11	45073547	45073859	313	17	0.536179439217856	0.23673358234388	0.299445856873975	89.2006384582563	Intron	Hyper	Klf12
LOC_00000965	chr9	70753994	70754388	395	18	0.251709344526623	0.0240436421370223	0.227665702389601	88.4531775728348	Intergenic	Hyper	RPL10A
LOC_00024186	chr8	23149535	23149939	405	19	0.0797168147695128	0.307033143218446	-0.227316328448934	-87.7565237711818	Intergenic	Hypo	PDZRN3
LOC_00024869	chr27	9551872	9552325	454	14	0.317963515044099	0.611698339808129	-0.293734824764029	-87.419201408144	Intergenic	Hypo	UCH
LOC_00007783	chr6	39686503	39687033	531	15	0.717943949078964	0.4973977195481	0.220546229530865	86.8766960767866	Intron	Hyper	
LOC_00020291	chr28	16196463	16196698	236	16	0.149836618039447	0.354805428483122	-0.204968810443674	-86.5833537013069	Intergenic	Hypo	
LOC_00010075	chr13	15305702	15306272	571	13	0.562454315555074	0.212114244549863	0.350340071005211	86.2679261001746	Intron	Hyper	GMDS
LOC_00025858	chr12	48028886	48029358	473	14	0.208228511730591	0.505763509346459	-0.297534997615868	-86.1559537602849	Intron	Hypo	Cyp4f1
LOC_00007509	chr6	20691219	20692033	815	15	0.274152664230138	0.572524427495532	-0.298371763265395	-85.951641723972	Intergenic	Hypo	
LOC_00011745	chr15	10883490	10883861	372	19	0.28391707587449	0.0929338988874091	0.190983176987081	85.7677931107127	Intergenic	Hyper	SPAC23A1.17
LOC_00020254	chr28	14961885	14962331	447	18	0.191647607242486	0.393703271723132	-0.202055664480646	-85.188579727283	Exon	Hypo	URH1
LOC_00013616	chr2	40568174	40568745	572	14	0.439035856395468	0.145402305204551	0.293633551190917	84.989467905657	Exon	Hyper	PTPRA
LOC_00020198	chr28	2745125	2746012	888	20	0.558109287412723	0.325676784971128	0.232432502441595	84.9873610705591	Intron	Hyper	Gas2l1
LOC_00006220	chr1	44945280	44945649	370	11	0.4037567457363	0.0141047746560094	0.389651971080291	84.4541388900547	Exon	Hyper	CadN
LOC_00019687	chr17	18626045	18626395	351	18	0.334038678722169	0.135511490109669	0.1985271886125	84.107049119616	Intron	Hyper	CIC
LOC_00006523	chr1	69515014	69515331	318	19	0.217933470936362	0.476257545427133	-0.258324074490771	-83.9106154139424	Promoter	Hypo	Cdkl4
LOC_00016846	chr24	36840678	36841028	351	17	0.214718862765032	0.482485220500809	-0.267766357735777	-83.679602277506	Intron	Hypo	
LOC_00022552	chr11	5971226	5971706	481	14	0.180235583089263	0.487781976922131	-0.307546393832868	-82.531105404098	Intergenic	Hypo	CD109
LOC_00003499	chr4	17435886	17436284	399	12	0.114500881683552	0.376519850276676	-0.262018968593124	-82.4367473286082	Exon	Hypo	GPR137B
LOC_00000477	chr9	34279482	34279781	300	15	0.446453451010808	0.213903750907476	0.232549700103331	82.3639836938807	Intergenic	Hyper	ACTR6
LOC_00020411	chr28	22417047	22417550	504	13	0.414293248948262	0.0637607539136201	0.350532495034642	81.3466148554976	Intergenic	Hyper	ercc6l
LOC_00025706	chr12	36857128	36857550	423	14	0.142067010602809	0.438590162505705	-0.296523151902897	-81.3369968283739	Intergenic	Hypo	PPP1R36
LOC_00007196	chr1	124014857	124015245	389	15	0.344708313613383	0.0987701238843898	0.245938189728993	80.9031834488035	Intergenic	Hyper	futsch
LOC_00003398	chr4	10669192	10669732	541	16	0.37119297923165	0.642585789224781	-0.271392809993131	-80.7169883979172	Intron	Hypo	GPHN
LOC_00004736	chr25	34299800	34300067	268	15	0.244394154219015	0.0734983103592207	0.170895843859794	80.5482626501844	Intergenic	Hyper	GLI3
XLOC_018267U_lncRNA	chr13	50073931	50074245	315	14	0.634773815083257	0.40612027765018	0.228653537433077	80.3207012216645	Intergenic	Hyper	
LOC_00011842	chr15	19826985	19827622	638	14	0.0952100224242734	0.344274582658638	-0.249064560234365	-80.3113288324908	Intron	Hypo	Met
LOC_00005774	chr1	14401555	14401958	404	14	0.455898683357204	0.720876254714196	-0.264977571356992	-80.2436787978709	Intron	Hypo	PAIP2B
LOC_00020519	chr28	28447997	28448663	667	15	0.553175930260884	0.237875727490201	0.315300202770683	79.8114486649461	Exon	Hyper	PITPNB
LOC_00002636	chr7	23256267	23256512	246	15	0.336574217803641	0.137148310858609	0.199425906945031	79.392104350517	Intron	Hyper	Diras2
LOC_00011703	chr15	1823116	1823366	251	13	0.337423531845657	0.154475149493543	0.182948382352114	79.2093549753294	Promoter	Hyper	TOMM7
LOC_00024066	chr8	15963858	15964246	389	15	0.12054108374068	0.316491486154309	-0.195950402413629	-79.2068858778594	Intron	Hypo	dlc
LOC_00009442	chr14	33020661	33021086	426	13	0.121752410824618	0.390429331679737	-0.268676920855119	-78.9757586389904	Intergenic	Hypo	
LOC_00005398	chr16	44402728	44403072	345	12	0.438181911592216	0.761347673935136	-0.323165762342921	-78.4703861792175	Intergenic	Hypo	crok
LOC_00004524	chr25	15248144	15248484	341	14	0.201548648532671	0.47034750347101	-0.268798854938339	-78.0757509455443	Intron	Hypo	
LOC_00013322	chr2	19803621	19804091	471	14	0.517305476870289	0.246251418730647	0.271054058139641	78.0507496068428	Exon	Hyper	
LOC_00023150	chr11	52339418	52339580	163	12	0.200721192217015	0.00664950559963584	0.194071686617379	77.6200003380454	Intron	Hyper	
LOC_00020852	chr18	14953018	14953456	439	15	0.262584206514967	0.0582274582340065	0.204356748280961	77.3880652189774	Intron	Hyper	TP63
LOC_00006557	chr1	72012665	72012953	289	14	0.301662136963279	0.0932081754840458	0.208453961479233	77.0932363992424	Intergenic	Hyper	Itgb6
LOC_00023670	chr30	24328546	24328885	340	14	0.40602424323798	0.14360434036158	0.2624199028764	76.6903035820002	Intergenic	Hyper	Tnfsf11
LOC_00009090	chr14	10731167	10731879	713	9	0.22531910573896	0.761292468248055	-0.535973362509096	-76.6010948992462	Intergenic	Hypo	NR5A2
LOC_00024979	chr27	16707012	16707584	573	15	0.249890681490021	0.485350144344012	-0.235459462853991	-75.37844021939	Intron	Hypo	CG7766
LOC_00000596	chr9	45396305	45396671	367	10	0.456453251545451	0.779899412963635	-0.323446161418184	-75.376412340111	Exon	Hypo	
LOC_00005936	chr1	26528949	26529165	217	14	0.0746355446143636	0.261342276778153	-0.186706732163789	-74.9602705945374	Intron	Hypo	APBB1IP
LOC_00008468	chr22	17118562	17119020	459	15	0.0842074467356279	0.289777479601445	-0.205570032865817	-74.8229761580399	Intron	Hypo	stpg2
LOC_00018703	chr3	48997346	48997993	648	13	0.138083069143435	0.437726510666164	-0.29964344152273	-74.6000965996314	Intron	Hypo	APPL1
LOC_00011255	chr23	12907124	12907521	398	13	0.104309531335535	0.309577146582008	-0.205267615246472	-74.5706910106939	Intron	Hypo	CNOT6
LOC_00003866	chr4	43935671	43936053	383	13	0.287558911293444	0.560256810931694	-0.27269789963825	-74.4189974994989	Intron	Hypo	cky-1
LOC_00010508	chr13	45559114	45559573	460	12	0.197035938996527	0.57817703465266	-0.381141095656133	-74.1719894226142	Intron	Hypo	cmip
LOC_00004710	chr25	33259162	33259582	421	15	0.330853318549515	0.0855982188514461	0.245255099698069	74.0129601541221	Intron	Hyper	CLASP1
LOC_00016855	chr24	37525909	37526171	263	17	0.650034437588192	0.435498408817838	0.214536028770354	73.5098411493073	Exon	Hyper	Slc44a2
LOC_00009550	chr14	40572275	40572655	381	15	0.458065965456635	0.677996833654159	-0.219930868197524	-73.2262144122056	Exon	Hypo	
LOC_00003053	chr7	56778617	56779005	389	15	0.462916981560233	0.714881603441162	-0.251964621880929	-73.2011191865977	Intron	Hypo	AGL
LOC_00017043	chr10	13656276	13656595	320	12	0.368204299805035	0.121562023351285	0.24664227645375	73.1810651547648	Intron	Hyper	nosip
LOC_00024387	chr8	38652510	38652908	399	11	0.500738116652208	0.14291175675964	0.357826359892568	73.0019576732286	Intron	Hyper	CA10
LOC_00022601	chr11	8840760	8841064	305	16	0.342346375573471	0.155731644631718	0.186614730941754	72.9997007341302	Exon	Hyper	ALKBH8
LOC_00010523	chr13	46915920	46916419	500	13	0.0871403692048675	0.394798029721487	-0.30765766051662	-72.9909131703481	Intergenic	Hypo	PREY
LOC_00006929	chr1	100112943	100113307	365	14	0.0874097225592792	0.282657012443945	-0.195247289884666	-72.8141089128603	Promoter	Hypo	
LOC_00016505	chr24	11763556	11763973	418	14	0.277328720473001	0.0370638325112652	0.240264887961736	72.6181180689047	Intergenic	Hyper	ZNF226
LOC_00010872	chr31	11556845	11557221	377	11	0.554550203341619	0.213289467959574	0.341260735382045	72.1758285927464	Intergenic	Hyper	Ddi2
LOC_00002502	chr7	15511786	15512068	283	12	0.393561099784587	0.189806510489025	0.203754589295562	72.0488644898727	Intergenic	Hyper	Ipp
LOC_00013777	chr2	51235454	51235706	253	18	0.40359070798293	0.664879453988545	-0.261288746005615	-72.0391902929773	Intergenic	Hypo	CALM1
LOC_00013798	chr2	53026318	53026540	223	11	0.0492660573329736	0.279552775615533	-0.230286718282559	-71.9714164750244	Intergenic	Hypo	Aqp4
LOC_00012818	chr21	32972624	32972925	302	13	0.781168470797058	0.483617454410858	0.2975510163862	71.9123765439942	Intergenic	Hyper	MED26
LOC_00004418	chr25	8445170	8445678	509	16	0.595880983410101	0.800182141722559	-0.204301158312459	-71.9052227354205	Intergenic	Hypo	
LOC_00015782	chr5	52474836	52475175	340	13	0.607923895062476	0.841329644912121	-0.233405749849645	-71.8243038287218	Intergenic	Hypo	Custos
LOC_00012934	chr21	42112600	42113142	543	13	0.168447774421268	0.45072603268545	-0.282278258264182	-71.7542912667811	Exon	Hypo	tric-1B.2
LOC_00004437	chr25	9928045	9928537	493	12	0.555234332329743	0.256205730795063	0.299028601534681	71.7093770597692	Promoter	Hyper	EGF-like
LOC_00019183	chr29	9608529	9608917	389	13	0.447951075285564	0.144035041704067	0.303916033581496	71.3602298038412	Intron	Hyper	CEP78
LOC_00015791	chr5	52881760	52881950	191	13	0.247348416293341	0.52158484920946	-0.27423643291612	-71.3598965124746	Intergenic	Hypo	Rabep1
LOC_00013890	chr2	57933516	57933874	359	11	0.362094659054257	0.0653934998616491	0.296701159192608	71.2949202575552	Exon	Hyper	SLC9A3
LOC_00004410	chr25	8215777	8216135	359	14	0.523715253108292	0.295146578130943	0.228568674977349	71.2476681738177	Promoter	Hyper	
LOC_00011564	chr23	34652444	34653064	621	13	0.598404546480835	0.889054326724472	-0.290649780243637	-71.2404045476437	Intergenic	Hypo	Arpc1a
LOC_00024450	chr8	43373023	43374498	1476	15	0.382874105383554	0.11888587629538	0.263988229088174	71.2395195756149	Intron	Hyper	FRMD4A
LOC_00023024	chr11	42924960	42925552	593	12	0.327848100226686	0.66255946358319	-0.334711363356504	-70.7310358157127	Intergenic	Hypo	
LOC_00025488	chr12	22083419	22083707	289	13	0.367942294078567	0.153605185103234	0.214337108975333	70.4747720996252	Promoter	Hyper	Jkamp
LOC_00012567	chr21	18096984	18097291	308	14	0.629802669916014	0.392683944443615	0.237118725472399	70.4423607027452	Intergenic	Hyper	Pars2
LOC_00002910	chr7	46322644	46322943	300	12	0.112571819048889	0.32668390027207	-0.21411208122318	-70.2906877379255	Exon	Hypo	As3mt
LOC_00016952	chr10	8400084	8400526	443	15	0.403810498788155	0.66579973414236	-0.261989235354206	-69.9958036339675	Intergenic	Hypo	
LOC_00000364	chr9	24305260	24305547	288	14	0.551353899260006	0.788613574130706	-0.2372596748707	-69.9108423143752	Intron	Hypo	Hex-t2
LOC_00024722	chr8	64665609	64665931	323	13	0.448963179991546	0.118998303001579	0.329964876989967	69.8961338171087	Exon	Hyper	
LOC_00018922	chr3	68039686	68040015	330	13	0.414205927076573	0.653356607495218	-0.239150680418645	-69.8668110241712	Intergenic	Hypo	
LOC_00000813	chr9	59497602	59497846	245	13	0.0240133466591163	0.1885527642031	-0.164539417543984	-69.7774293878167	Intergenic	Hypo	rabl3
LOC_00021675	chr19	32914639	32915036	398	11	0.444486305123789	0.152280424200696	0.292205880923092	69.5922105735246	Intron	Hyper	Hmcn1
LOC_00024777	chr27	2338040	2338362	323	12	0.313569736562587	0.606331612277983	-0.292761875715396	-69.5538097964557	Intron	Hypo	
LOC_00016289	chr24	3587662	3588251	590	12	0.369493233666851	0.0834583652185333	0.286034868448317	69.2060558251881	Exon	Hyper	
LOC_00009531	chr14	39353899	39354308	410	11	0.0599608759409656	0.284289816857163	-0.224328940916197	-69.0261100255843	Intergenic	Hypo	Plaat3
LOC_00011615	chr23	38119918	38120307	390	15	0.289781387461531	0.0515606644114452	0.238220723050086	68.5804057445727	Intergenic	Hyper	GAA
LOC_00002737	chr7	33486082	33486530	449	10	0.402858941663547	0.0772621400319725	0.325596801631575	67.9711739584025	Intron	Hyper	SLF1
LOC_00005690	chr1	7726334	7726666	333	17	0.33550066234104	0.531827101906349	-0.196326439565308	-67.3579216541613	Intergenic	Hypo	
LOC_00011837	chr15	18604960	18605415	456	11	0.175479775431326	0.477411260832922	-0.301931485401597	-67.3218270124152	Intergenic	Hypo	
LOC_00006490	chr1	67999910	68000423	514	11	0.305714487799626	0.628201157256913	-0.322486669457287	-66.9026508450236	Intergenic	Hypo	SNF8
LOC_00008192	chr6	72106670	72106894	225	10	0.0684003454270812	0.324894001874089	-0.256493656447007	-66.7636925002245	Intron	Hypo	skp1
LOC_00017901	chr26	20417232	20417881	650	13	0.255776535458387	0.0183664803265505	0.237410055131837	66.6664849466838	Intron	Hyper	
LOC_00013187	chr2	10301943	10302606	664	13	0.344981518942712	0.105688078693023	0.239293440249689	66.6205392387005	Intergenic	Hyper	CUBN
LOC_00013706	chr2	46404806	46405186	381	16	0.441887526240766	0.680333366151325	-0.238445839910559	-66.194250155089	Intron	Hypo	amt1
LOC_00015601	chr5	42432088	42432320	233	13	0.764751887135178	0.580654852141555	0.184097034993623	66.0959213195207	Intron	Hyper	GRK3
LOC_00003132	chr7	63049851	63050195	345	11	0.559322820482127	0.265917333843146	0.293405486638981	65.2902309781436	Intron	Hyper	rft1
LOC_00002876	chr7	44502612	44503357	746	9	0.481845852490484	0.103694465551557	0.378151386938926	64.9993640313386	Intron	Hyper	Atg10
LOC_00010443	chr13	41859225	41859589	365	12	0.202778312619789	0.490699779000488	-0.2879214663807	-64.0515941824861	Intron	Hypo	Ccdc102a
LOC_00019997	chr17	43415616	43416068	453	13	0.0212860377594324	0.201492965189246	-0.180206927429814	-63.9500572556226	Intron	Hypo	
LOC_00007947	chr6	53456735	53457115	381	11	0.124297572769105	0.366122900991709	-0.241825328222604	-63.8032164763047	Exon	Hypo	SLC39A4
LOC_00022888	chr11	33847381	33847709	329	12	0.12439130496023	0.388455858737135	-0.264064553776905	-63.6111215484336	Intron	Hypo	MAML1
LOC_00006256	chr1	47765433	47765642	210	10	0.590334687390339	0.245427246989746	0.344907440400593	63.5734581745811	Intron	Hyper	PARP14
LOC_00015983	chr5	64635264	64635578	315	11	0.451982296933821	0.205022946466469	0.246959350467352	63.4050665161541	Intron	Hyper	
LOC_00019970	chr17	41765288	41765672	385	11	0.646421115377873	0.349206688851062	0.297214426526811	63.3479230722751	Exon	Hyper	ets2-b
LOC_00015872	chr5	57666258	57666616	359	9	0.14308572075559	0.474569439232331	-0.331483718476742	-63.2979655605241	Intergenic	Hypo	HIRA
LOC_00007501	chr6	20040449	20040849	401	11	0.246141743001622	0.042673495831824	0.203468247169798	63.2960371115687	Intron	Hyper	MYLK
LOC_00003875	chr4	44466689	44466866	178	16	0.35057468898289	0.560303122881099	-0.209728433898209	-63.2600070986069	Intergenic	Hypo	Wdr64
LOC_00010398	chr13	38869477	38869789	313	10	0.236730801118072	0.0215850358877106	0.215145765230362	63.2144816080335	Intron	Hyper	TOX
LOC_00015133	chr5	17269209	17269608	400	13	0.668899772631374	0.867808105872776	-0.198908333241402	-63.0279988726816	Promoter	Hypo	NMRAL1
LOC_00006087	chr1	36069353	36069665	313	11	0.356062165488763	0.136215257559365	0.219846907929398	62.9029657489071	Promoter	Hyper	Unc13b
LOC_00013194	chr2	10971058	10971362	305	13	0.476675939111888	0.278535498540502	0.198140440571386	62.8870469497287	Intergenic	Hyper	CUBN
LOC_00014542	chr20	19220848	19221110	263	11	0.107542467922086	0.332396257899934	-0.224853789977849	-62.8684617079906	Intron	Hypo	Chrdl2
LOC_00007336	chr6	6130148	6130953	806	13	0.111779321333313	0.369811582521282	-0.258032261187969	-62.5351404679591	Intron	Hypo	Larp4B
LOC_00016498	chr24	11518539	11519202	664	13	0.198797519712522	0.466564832514027	-0.267767312801505	-62.4131504614111	Intron	Hypo	ZFP2
LOC_00004388	chr25	7260545	7260812	268	17	0.648029517824488	0.441229053392666	0.206800464431821	62.0830429756115	Intergenic	Hyper	MLX
LOC_00021635	chr19	29188196	29188562	367	12	0.364549719959572	0.0828450087079979	0.281704711251574	62.0633138687128	Promoter	Hyper	MCTP1
LOC_00011713	chr15	4169627	4169896	270	12	0.334042567880019	0.0444626886300134	0.289579879250005	61.6358164092857	Intergenic	Hyper	HERC1
LOC_00009115	chr14	12265466	12265742	277	11	0.0617510487670375	0.232596700670148	-0.170845651903111	-61.5025678962173	Intergenic	Hypo	
LOC_00016696	chr24	24058436	24058612	177	12	0.692811776973501	0.4867010428931	0.206110734080401	61.4860200810244	Intron	Hyper	
LOC_00010634	chr13	51115012	51115887	876	12	0.434917455052612	0.731369000061606	-0.296451545008994	-61.310191157266	Intron	Hypo	RBM12
LOC_00002680	chr7	27542253	27542546	294	13	0.523824855175126	0.718961429280422	-0.195136574105296	-61.2653589895932	Exon	Hypo	TFB1M
LOC_00005902	chr1	23965267	23965704	438	10	0.204874967853074	0.539669200652387	-0.334794232799313	-61.0958596581567	Intron	Hypo	sgmA
LOC_00019775	chr17	25802215	25802682	468	13	0.42457047075283	0.166380237309142	0.258190233443688	60.3939061564778	Intergenic	Hyper	mlt-10
LOC_00021098	chr18	35933729	35934123	395	11	0.388473210370583	0.131449163268525	0.257024047102058	60.3695312880468	Intron	Hyper	SLC2A3
LOC_00015016	chr5	7430329	7430647	319	12	0.462216043555151	0.17967932230113	0.28253672125402	60.3066423014001	Promoter	Hyper	CLTA
LOC_00010762	chr31	3618779	3619061	283	14	0.408223204460784	0.6299776977047	-0.221754493243916	-60.275787883193	Intergenic	Hypo	Spag7
