motif_id	motif_name	tf_class	region_type	n_hits	n_genes	mean_score	mean_dist
MA0170.1	C15	NK	promoter	10464	10464		-1000.51165902141
MA0171.1	CG11085	NK	promoter	8159	8159		-1000.51244025003
MA0172.1	CG11294	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0173.1	CG11617	TALE-type HD	promoter	9496	9496		-1000.50336983993
MA0174.1	Dbx	Homeo	promoter	14737	14737		-1000.51102666757
MA0175.1	lms	NK	promoter	8159	8159		-1000.51244025003
MA0176.1	CG15696	NK	promoter	10464	10464		-1000.51165902141
MA0177.1	CG18599	NK	promoter	10464	10464		-1000.51165902141
MA0178.1	CG32105	HD-LIM	promoter	10464	10464		-1000.51165902141
MA0179.1	CG32532	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0180.1	Vsx2	Paired-related HD factors	promoter	3444	3444		-1000.5081300813
MA0181.1	Vsx1	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0182.1	CG4328	HD-LIM	promoter	14737	14737		-1000.51102666757
MA0183.1	HHEX	NK	promoter	5741	5741		-1000.51071241944
MA0186.1	Dfd	HOX	promoter	8110	8110		-1000.51011097411
MA0187.1	Dll	NK	promoter	6484	6484		-1000.51403454658
MA0188.1	Dr	NK	promoter	5477	5477		-1000.50976812123
MA0190.1	Gsc	Paired-related HD factors	promoter	11476	11476		-1000.52213314744
MA0191.1	HGTX	NK	promoter	10464	10464		-1000.51165902141
MA0192.1	Hmx	NK	promoter	8159	8159		-1000.51244025003
MA0193.1	schlank	""	promoter	5287	5287		-1000.50652543976
MA0194.1	Lim1	HD-LIM	promoter	10464	10464		-1000.51165902141
MA0196.1	NK7.1	NK	promoter	8159	8159		-1000.51244025003
MA0198.1	OdsH	Paired-related HD factors	promoter	5824	5824		-1000.51184752747
MA0199.1	Optix	HD-SINE	promoter	24646	24646		-1000.51002191025
MA0201.1	Ptx1	Paired-related HD factors	promoter	4052	4052		-1000.53035538006
MA0202.1	Rx	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0203.1	Scr	HOX	promoter	8110	8110		-1000.51011097411
MA0204.1	Six4	HD-SINE	promoter	13065	13065		-1000.51052430157
MA0206.1	abd-A	HOX	promoter	10464	10464		-1000.51165902141
MA0207.1	achi	TALE-type homeo domain factors	promoter	17138	17138		-1000.50851908041
MA0208.1	al	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0209.1	ap	HD-LIM	promoter	7909	7909		-1000.51397142496
MA0210.1	ara	TALE-type homeo domain factors	promoter	24820	24820		-1000.50942788074
MA0211.1	bap	NK	promoter	6816	6816		-1000.50821596244
MA0212.1	bcd	Paired-related HD factors	promoter	11476	11476		-1000.52213314744
MA0213.1	brk	""	promoter	3410	3410		-1000.49442815249
MA0214.1	bsh	NK	promoter	10464	10464		-1000.51165902141
MA0215.1	btn	HOX	promoter	8110	8110		-1000.51011097411
MA0217.1	caup	TALE-type homeo domain factors	promoter	24820	24820		-1000.50942788074
MA0218.1	ct	HD-CUT	promoter	18291	18291		-1000.51369525996
MA0219.1	ems	NK	promoter	10464	10464		-1000.51165902141
MA0220.1	en	NK	promoter	10464	10464		-1000.51165902141
MA0221.1	eve	HOX	promoter	10464	10464		-1000.51165902141
MA0224.1	exex	HOX	promoter	6484	6484		-1000.51403454658
MA0225.1	ftz	HOX	promoter	10464	10464		-1000.51165902141
MA0226.1	hbn	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0227.1	hth	TALE-type homeo domain factors	promoter	17138	17138		-1000.50851908041
MA0228.1	ind	HOX	promoter	10464	10464		-1000.51165902141
MA0229.1	inv	NK	promoter	3223	3223		-1000.51070431275
MA0230.1	lab	HOX	promoter	10464	10464		-1000.51165902141
MA0231.1	lbe	NK	promoter	15017	15017		-1000.5119531198
MA0232.1	lbl	NK	promoter	15017	15017		-1000.5119531198
MA0233.1	mirr	TALE-type HD	promoter	25253	25253		-1000.50920682691
MA0234.1	oc	Paired-related HD factors	promoter	11476	11476		-1000.52213314744
MA0235.1	onecut	HD-CUT	promoter	12767	12767		-1000.50928174199
MA0236.1	otp	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0238.1	pb	HOX	promoter	10464	10464		-1000.51165902141
MA0240.1	repo	Paired-related HD factors	promoter	10464	10464		-1000.51165902141
MA0241.1	ro	HOX	promoter	5824	5824		-1000.51184752747
MA0242.1	Bgb::run	Runt-related factors	promoter	4209	4209		-1000.50819672131
MA0244.1	slbo	CEBP-related	promoter	3267	3267		-1000.52096724824
MA0245.1	slou	NK	promoter	10464	10464		-1000.51165902141
MA0246.1	so	HD-SINE	promoter	13065	13065		-1000.51052430157
MA0248.1	tup	HD-LIM	promoter	8159	8159		-1000.51244025003
MA0250.1	unc-4	Paired-related HD factors	promoter	8159	8159		-1000.51244025003
MA0251.1	unpg	HOX	promoter	10464	10464		-1000.51165902141
MA0253.1	vnd	NK	promoter	3843	3843		-1000.51314077544
MA0254.1	vvl	POU domain factors	promoter	18270	18270		-1000.51100164204
MA0256.1	zen	HOX	promoter	6005	6005		-1000.51090757702
MA0260.1	che-1	More than 3 adjacent zinc fingers	promoter	14368	14368		-1000.51190144766
MA0261.1	lin-14	""	promoter	16503	16503		-1000.50936193419
MA0262.1	mab-3	DMRT factors	promoter	5772	5772		-1000.5077962578
MA0263.1	ceh-10::ttx-3	Paired-related HD factors	promoter	4385	4385		-1000.50900798176
MA0444.1	CG34031	NK	promoter	8159	8159		-1000.51244025003
MA0445.1	D	SOX-related factors	promoter	8615	8615		-1000.51201392919
MA0446.1	fkh	FOX	promoter	6438	6438		-1000.51102826965
MA0447.1	gt	CEBP-related	promoter	1188	1188		-1000.5101010101
MA0448.1	H2.0	NK	promoter	10464	10464		-1000.51165902141
MA0449.1	h	Helix-Loop-Helix	promoter	2342	2342		-1000.50768573869
MA0450.1	hkb	Three-zinc finger Kruppel-related	promoter	4338	4338		-1000.50253573075
MA0454.1	odd	More than 3 adjacent zinc fingers	promoter	5171	5171		-1000.51440727132
MA0456.1	opa	More than 3 adjacent zinc fingers	promoter	4502	4502		-1000.52043536206
MA0459.1	tll	RXR-related receptors (NR2)	promoter	6563	6563		-1000.51439890294
MA0460.1	ttk	Other factors with up to three adjacent zinc fingers	promoter	3332	3332		-1000.49099639856
MA0145.2	Tfcp2l1	CP2-related factors	promoter	4887	4887		-1000.51851851852
MA0468.1	DUX4	Paired-related HD factors	promoter	3485	3485		-1000.50473457676
MA0515.1	Sox6	SOX-related factors	promoter	8680	8680		-1000.5133640553
MA0258.2	ESR2	Steroid hormone receptors (NR3)	promoter	4350	4350		-1000.51379310345
MA0216.2	cad	HOX	promoter	6240	6240		-1000.50865384615
MA0533.1	su(Hw)	Factors with multiple dispersed zinc fingers	promoter	5375	5375		-1000.52465116279
MA0534.1	EcR::usp	Thyroid hormone receptor-related factors (NR1)	promoter	5000	5000		-1000.506
MA0237.2	pan	High Mobility Group box (HMG)	promoter	5405	5405		-1000.51748381129
MA0535.1	Mad	SMAD factors	promoter	5392	5392		-1000.51168397626
MA0537.1	blmp-1	More than 3 adjacent zinc fingers	promoter	12385	12385		-1000.50617682681
MA0542.1	elt-3	C4-GATA-related	promoter	2705	2705		-1000.50277264325
MA0544.1	snpc-4	Myb/SANT domain factors	promoter	4744	4744		-1000.51327993255
MA0546.1	pha-4	FOX	promoter	6128	6128		-1000.51289164491
MA0595.1	SREBF1	bHLH-ZIP	promoter	4071	4071		-1000.51117661508
MA0596.1	SREBF2	bHLH-ZIP	promoter	4095	4095		-1000.51477411477
MA0599.1	KLF5	Three-zinc finger Kruppel-related	promoter	9601	9601		-1000.50223935007
MA0604.1	Atf1	CREB-related factors	promoter	1797	1797		-1000.50306065665
MA0608.1	Creb3l2	CREB-related factors	promoter	4021	4021		-1000.50708778911
MA0613.1	FOXG1	FOX	promoter	6019	6019		-1000.51852467187
MA0614.1	Foxj2	FOX	promoter	6935	6935		-1000.51276135544
MA0636.1	BHLHE41	Hairy-related factors	promoter	3128	3128		-1000.51438618926
MA0641.1	ELF4	Ets-related	promoter	4813	4813		-1000.52420527737
MA0042.2	FOXI1	FOX	promoter	9788	9788		-1000.51910502656
MA0033.2	FOXL1	FOX	promoter	13110	13110		-1000.50846681922
MA0153.2	HNF1B	POU domain factors	promoter	3549	3549		-1000.50803043111
MA0486.2	HSF1	HSF factors	promoter	3435	3435		-1000.50538573508
MA0653.1	IRF9	Interferon-regulatory factors	promoter	6796	6796		-1000.50117716304
MA0655.1	JDP2	Fos-related	promoter	2348	2348		-1000.51703577513
MA0660.1	MEF2B	Regulators of differentiation	promoter	5262	5262		-1000.51995438997
MA0663.1	MLX	bHLH-ZIP	promoter	2927	2927		-1000.52032798087
MA0665.1	MSC	Tal-related	promoter	5219	5219		-1000.5123586894
MA0667.1	MYF6	MyoD/ASC-related factors	promoter	4378	4378		-1000.51621745089
MA0669.1	NEUROG2	Tal-related	promoter	3450	3450		-1000.50782608696
MA0676.1	Nr2e1	RXR-related receptors (NR2)	promoter	5378	5378		-1000.51431759018
MA0678.1	OLIG2	Tal-related	promoter	3651	3651		-1000.51574910983
MA0068.2	PAX4	Paired plus homeo domain	promoter	945	945		-1000.50264550265
MA0512.2	Rxra	RXR-related receptors (NR2)	promoter	5425	5425		-1000.50341013825
MA0083.3	SRF	Responders to external signals (SRF/RLM1)	promoter	2383	2383		-1000.50986151909
MA0009.2	TBXT	Brachyury-related factors	promoter	2257	2257		-1000.5104120514
MA0689.1	TBX20	TBX1-related factors	promoter	3853	3853		-1000.50921359979
MA0691.1	TFAP4	bHLH-ZIP	promoter	3647	3647		-1000.52042774883
MA0696.1	ZIC1	More than 3 adjacent zinc fingers	promoter	4123	4123		-1000.50666990056
MA0713.1	PHOX2A	Paired-related HD factors	promoter	4181	4181		-1000.51231762736
MA0715.1	PROP1	Paired-related HD factors	promoter	4188	4188		-1000.49689589303
MA0724.1	VENTX	NK	promoter	2556	2556		-1000.51056338028
MA0728.1	Nr2F6	RXR-related receptors (NR2)	promoter	4893	4893		-1000.50602902105
MA0729.1	RARA	Thyroid hormone receptor-related factors (NR1)	promoter	4702	4702		-1000.50765631646
MA0730.1	RARA	Thyroid hormone receptor-related factors (NR1)	promoter	4055	4055		-1000.50135635019
MA0731.1	BCL6B	More than 3 adjacent zinc fingers	promoter	3815	3815		-1000.51087811271
MA0472.2	EGR2	Three-zinc finger Kruppel-related	promoter	5184	5184		-1000.51581790123
MA0736.1	GLIS2	More than 3 adjacent zinc fingers	promoter	4016	4016		-1000.50298804781
MA0737.1	GLIS3	More than 3 adjacent zinc fingers	promoter	3562	3562		-1000.49410443571
MA0741.1	KLF16	Three-zinc finger Kruppel-related	promoter	10316	10316		-1000.51357115161
MA0088.2	ZNF143	More than 3 adjacent zinc fingers	promoter	4422	4422		-1000.50293984622
MA0758.1	E2F7	E2F	promoter	4071	4071		-1000.51633505281
MA0770.1	HSF2	HSF factors	promoter	3416	3416		-1000.49970725995
MA0771.1	HSF4	HSF factors	promoter	3761	3761		-1000.4988035097
MA0773.1	MEF2D	Regulators of differentiation	promoter	5841	5841		-1000.51703475432
MA0774.1	MEIS2	TALE-type homeo domain factors	promoter	5698	5698		-1000.50508950509
MA0776.1	MYBL1	Myb/SANT domain factors	promoter	1704	1704		-1000.50117370892
MA0777.1	MYBL2	Myb/SANT domain factors	promoter	2040	2040		-1000.53284313725
MA0105.4	NFKB1	NF-kappaB-related factors	promoter	2107	2107		-1000.53393450403
MA0780.1	PAX3	Paired plus homeo domain	promoter	2665	2665		-1000.50994371482
MA0783.1	PKNOX2	TALE-type homeo domain factors	promoter	4715	4715		-1000.50498409332
MA0787.1	POU3F2	POU domain factors	promoter	4565	4565		-1000.49813800657
MA0788.1	POU3F3	POU domain factors	promoter	5367	5367		-1000.49748462828
MA0789.1	POU3F4	POU domain factors	promoter	4006	4006		-1000.50074887669
MA0792.1	POU5F1B	POU domain factors	promoter	3600	3600		-1000.50305555556
MA0794.1	PROX1	HD-PROS factors	promoter	2825	2825		-1000.50265486726
MA0795.1	SMAD3	SMAD factors	promoter	2812	2812		-1000.50533428165
MA0796.1	TGIF1	TALE-type homeo domain factors	promoter	4167	4167		-1000.4996400288
MA0797.1	TGIF2	TALE-type homeo domain factors	promoter	3842	3842		-1000.50260281104
MA0511.2	RUNX2	Runt-related factors	promoter	4586	4586		-1000.50501526385
MA0801.1	MGA	TBX6-related factors	promoter	2830	2830		-1000.49611307421
MA0803.1	TBX15	TBX1-related factors	promoter	2903	2903		-1000.50155012057
MA0805.1	TBX1	TBX1-related factors	promoter	3387	3387		-1000.50250959551
MA0806.1	TBX4	TBX2-related factors	promoter	3585	3585		-1000.49232914923
MA0807.1	TBX5	TBX2-related factors	promoter	3432	3432		-1000.49592074592
MA0808.1	TEAD3	TEF-1-related factors	promoter	4055	4055		-1000.50974106042
MA0813.1	TFAP2B	AP-2	promoter	3404	3404		-1000.50235017626
MA0815.1	TFAP2C	AP-2	promoter	3053	3053		-1000.49525057321
MA0816.1	Ascl2	MyoD/ASC-related factors	promoter	5630	5630		-1000.50763765542
MA0822.1	HES7	Hairy-related factors	promoter	2307	2307		-1000.5188556567
MA0823.1	HEY1	Hairy-related factors	promoter	2607	2607		-1000.5055619486
MA0826.1	OLIG1	Tal-related	promoter	3150	3150		-1000.52158730159
MA0827.1	OLIG3	Tal-related	promoter	3540	3540		-1000.51440677966
MA0838.1	CEBPG	CEBP-related	promoter	2234	2234		-1000.50134288272
MA0845.1	FOXB1	FOX	promoter	8217	8217		-1000.51636850432
MA0032.2	FOXC1	FOX	promoter	9119	9119		-1000.51463976313
MA0848.1	FOXO4	FOX	promoter	9788	9788		-1000.51910502656
MA0849.1	FOXO6	FOX	promoter	9788	9788		-1000.51910502656
MA0850.1	FOXP3	FOX	promoter	9788	9788		-1000.51910502656
MA0855.1	RXRB	RXR-related receptors (NR2)	promoter	5492	5492		-1000.50782957028
MA0856.1	RXRG	RXR-related receptors (NR2)	promoter	5401	5401		-1000.50601740418
MA0857.1	Rarb	Thyroid hormone receptor-related factors (NR1)	promoter	5608	5608		-1000.507489301
MA0858.1	Rarb	Thyroid hormone receptor-related factors (NR1)	promoter	3952	3952		-1000.51037449393
MA0860.1	Rarg	Thyroid hormone receptor-related factors (NR1)	promoter	4886	4886		-1000.50634465821
MA0525.2	TP63	p53-related factors	promoter	3504	3504		-1000.50913242009
MA0106.3	TP53	p53-related factors	promoter	2963	2963		-1000.51029362133
MA0862.1	GMEB2	GMEB	promoter	1041	1041		-1000.51200768492
MA0863.1	MTF1	More than 3 adjacent zinc fingers	promoter	6413	6413		-1000.50163729924
MA0024.3	E2F1	E2F	promoter	2331	2331		-1000.51093951094
MA0866.1	SOX21	SOX-related factors	promoter	6088	6088		-1000.51544021025
MA0870.1	Sox1	SOX-related factors	promoter	4741	4741		-1000.52457287492
MA0872.1	TFAP2A	AP-2	promoter	3437	3437		-1000.50101832994
MA0916.1	Ets21C	Ets-related	promoter	4102	4102		-1000.51170160897
MA0917.1	gcm2	GCM	promoter	2695	2695		-1000.51614100186
MA0922.1	ces-2	CEBP-related	promoter	2768	2768		-1000.51011560694
MA0924.1	pal-1	HOX	promoter	3480	3480		-1000.50948275862
MA0926.1	unc-86	POU domain factors	promoter	2664	2664		-1000.50938438438
MA0927.1	vab-7	HOX	promoter	2772	2772		-1000.50396825397
MA1124.1	ZNF24	More than 3 adjacent zinc fingers	promoter	6543	6543		-1000.51031636864
MA1155.1	ZSCAN4	More than 3 adjacent zinc fingers	promoter	7947	7947		-1000.51503712093
MA1127.1	FOSB::JUN	Fos-related	promoter	3838	3838		-1000.5117248567
MA1129.1	FOSL1::JUN	Fos-related	promoter	2820	2820		-1000.51063829787
MA1136.1	FOSB::JUNB	Fos-related	promoter	3309	3309		-1000.5101239045
MA1420.1	IRF5	Interferon-regulatory factors	promoter	4275	4275		-1000.49754385965
MA1421.1	TCF7L1	TCF-7-related factors	promoter	6948	6948		-1000.51079447323
MA1440.1	fkh-9	FOX	promoter	11333	11333		-1000.50842671843
MA1442.1	mab-5	HOX	promoter	4510	4510		-1000.52128603104
MA1445.1	ceh-28	NK	promoter	967	967		-1000.4943123061
MA1448.1	fos-1	Fos-related	promoter	5181	5181		-1000.51032619185
MA1451.1	nhr-6	NGFI-B-related receptors (NR4)	promoter	7221	7221		-1000.51142501039
MA1468.1	ATOH7	Tal-related	promoter	3743	3743		-1000.50494255944
MA1485.1	FERD3L	Tal-related	promoter	4434	4434		-1000.50857013983
MA1489.1	FOXN3	FOX	promoter	6016	6016		-1000.51712101064
MA1493.1	HES6	Hairy-related factors	promoter	4314	4314		-1000.51321279555
MA1509.1	IRF6	Interferon-regulatory factors	promoter	2199	2199		-1000.49749886312
MA1538.1	NR2F1	RXR-related receptors (NR2)	promoter	4186	4186		-1000.50143334926
MA1539.1	NR2F6	RXR-related receptors (NR2)	promoter	3576	3576		-1000.50363534676
MA1555.1	RXRB	RXR-related receptors (NR2)	promoter	1932	1932		-1000.50207039337
MA1556.1	RXRG	RXR-related receptors (NR2)	promoter	3278	3278		-1000.50030506406
MA1557.1	SMAD5	SMAD factors	promoter	2803	2803		-1000.50017838031
MA1570.1	TFAP4	bHLH-ZIP	promoter	2885	2885		-1000.51022530329
MA1571.1	TGIF2LX	TALE-type homeo domain factors	promoter	2765	2765		-1000.50813743219
MA1572.1	TGIF2LY	TALE-type homeo domain factors	promoter	2693	2693		-1000.50761232826
MA1580.1	ZBTB32	Other factors with up to three adjacent zinc fingers	promoter	4989	4989		-1000.50771697735
MA1587.1	ZNF135	More than 3 adjacent zinc fingers	promoter	6010	6010		-1000.5071547421
MA1588.1	ZNF136	More than 3 adjacent zinc fingers	promoter	4348	4348		-1000.51563937443
MA1594.1	ZNF382	Factors with multiple dispersed zinc fingers	promoter	5229	5229		-1000.51749856569
MA1596.1	ZNF460	More than 3 adjacent zinc fingers	promoter	7062	7062		-1000.51118663268
MA1597.1	ZNF528	More than 3 adjacent zinc fingers	promoter	5048	5048		-1000.50633914422
MA0158.2	HOXA5	HOX	promoter	954	954		-1000.50733752621
MA0912.2	HOXD3	HOX	promoter	1427	1427		-1000.51716888577
MA0623.2	NEUROG1	Tal-related	promoter	2762	2762		-1000.51484431571
MA2093.1	HOXB1	HOX	promoter	6484	6484		-1000.51403454658
MA2094.1	PAX8	Paired domain only	promoter	4058	4058		-1000.52242483982
MA2095.1	Sox7	SOX-related factors	promoter	5998	5998		-1000.51050350117
MA2096.1	ZNF524	More than 3 adjacent zinc fingers	promoter	5075	5075		-1000.50798029557
MA1715.1	ZNF707	More than 3 adjacent zinc fingers	promoter	5000	5000		-1000.5246
MA2097.1	ZNF75A	More than 3 adjacent zinc fingers	promoter	6109	6109		-1000.50761172041
MA2098.1	ZNF766	More than 3 adjacent zinc fingers	promoter	4138	4138		-1000.51788303528
MA2099.1	ZNF770	Factors with multiple dispersed zinc fingers	promoter	4490	4490		-1000.50601336303
MA1718.1	ZNF8	Factors with multiple dispersed zinc fingers	promoter	4960	4960		-1000.51592741935
MA2100.1	ZSCAN16	More than 3 adjacent zinc fingers	promoter	3932	3932		-1000.52034587996
MA2101.1	ZNF677	More than 3 adjacent zinc fingers	promoter	6945	6945		-1000.51072714183
MA1684.1	Foxn1	FOX	promoter	11440	11440		-1000.5131993007
MA1700.1	Clamp	Factors with multiple dispersed zinc fingers	promoter	8900	8900		-1000.49730337079
MA2102.1	ZBTB17	Factors with multiple dispersed zinc fingers	promoter	1501	1501		-1000.50299800133
MA2107.1	cg	More than 3 adjacent zinc fingers	promoter	9326	9326		-1000.5153334763
MA2108.1	sqz	More than 3 adjacent zinc fingers	promoter	23942	23942		-1000.50935594353
MA1876.1	Gsx	HOX	promoter	8693	8693		-1000.50834004371
MA1890.1	Klf15	Three-zinc finger Kruppel-related	promoter	12632	12632		-1000.50989550348
MA1893.1	Klf6-7-like	Three-zinc finger Kruppel-related	promoter	11077	11077		-1000.50735758779
MA2109.1	Arid3	ARID-related	promoter	20772	20772		-1000.51015790487
MA2110.1	Cdx	HOX	promoter	3284	3284		-1000.52040194884
MA2111.1	HNF4	RXR-related receptors (NR2)	promoter	4813	4813		-1000.50696031581
MA2112.1	Meis	TALE-type homeo domain factors	promoter	17138	17138		-1000.50851908041
MA2113.1	Pax2-5-8-a	Paired domain only	promoter	2225	2225		-1000.51505617978
MA2114.1	Pax3-7-like	Paired plus homeo domain	promoter	19385	19385		-1000.51049780758
MA2115.1	Pax6	Paired plus homeo domain	promoter	20772	20772		-1000.51015790487
MA2116.1	Pou4	POU domain factors	promoter	22647	22647		-1000.51039872831
MA1931.1	ELK1::HOXA1	Ets-related	promoter	2990	2990		-1000.50969899666
MA1957.1	HOXB2::ELK1	HOX	promoter	3772	3772		-1000.50954400848
MA1962.1	POU2F1::SOX2	POU domain factors	promoter	5909	5909		-1000.51345405314
MA1972.1	ZFP14	Factors with multiple dispersed zinc fingers	promoter	8374	8374		-1000.50417960353
MA1980.1	ZNF418	Factors with multiple dispersed zinc fingers	promoter	6247	6247		-1000.51288618537
MA1985.1	ZNF669	More than 3 adjacent zinc fingers	promoter	5568	5568		-1000.51221264368
MA2117.1	FOXP4	FOX	promoter	9788	9788		-1000.51910502656
MA2118.1	FOXS1	FOX	promoter	4878	4878		-1000.5151701517
MA2119.1	HOXA3	HOX	promoter	6484	6484		-1000.51403454658
MA2120.1	ZNF184	More than 3 adjacent zinc fingers	promoter	5616	5616		-1000.51086182336
MA2121.1	ZNF213	More than 3 adjacent zinc fingers	promoter	5747	5747		-1000.51418131199
MA2122.1	Ebf4	EBF-related	promoter	3680	3680		-1000.51358695652
MA2123.1	Hand1	Tal-related	promoter	4755	4755		-1000.50599369085
MA2124.1	Hmga1	HMGA	promoter	7188	7188		-1000.51293823038
MA2125.1	Zfp809	More than 3 adjacent zinc fingers	promoter	5221	5221		-1000.51139628424
MA2126.1	Zfp961	More than 3 adjacent zinc fingers	promoter	4559	4559		-1000.50274182935
MA0079.5	SP1	Three-zinc finger Kruppel-related	promoter	8991	8991		-1000.50817484151
MA0509.3	RFX1	RFX-related factors	promoter	3213	3213		-1000.52941176471
MA0516.3	SP2	Three-zinc finger Kruppel-related	promoter	8246	8246		-1000.50497210769
MA0607.2	BHLHA15	Tal-related	promoter	2462	2462		-1000.52112103981
MA0685.2	SP4	Three-zinc finger Kruppel-related	promoter	9112	9112		-1000.51119402985
MA0740.2	KLF14	Three-zinc finger Kruppel-related	promoter	9074	9074		-1000.50286532951
MA0742.2	KLF12	Three-zinc finger Kruppel-related	promoter	8020	8020		-1000.50336658354
MA0798.3	RFX3	RFX-related factors	promoter	3730	3730		-1000.53190348525
MA0818.2	BHLHE22	Tal-related	promoter	2679	2679		-1000.50914520343
MA0821.2	HES5	Hairy-related factors	promoter	1938	1938		-1000.50309597523
MA0831.3	TFE3	bHLH-ZIP	promoter	3109	3109		-1000.51174010936
MA0878.3	CDX1	HOX	promoter	4794	4794		-1000.49874843554
MA0884.2	DUXA	Paired-related HD factors	promoter	2088	2088		-1000.50957854406
MA1511.2	KLF10	Three-zinc finger Kruppel-related	promoter	8919	8919		-1000.50039242068
MA1532.2	NR1D2	Thyroid hormone receptor-related factors (NR1)	promoter	3768	3768		-1000.51114649682
MA1547.2	PITX2	Paired-related HD factors	promoter	2370	2370		-1000.55316455696
MA1563.2	SOX18	SOX-related factors	promoter	3614	3614		-1000.51743220808
MA1573.2	Thap11	THAP-related factors	promoter	4161	4161		-1000.51045421774
MA1601.2	ZNF75D	More than 3 adjacent zinc fingers	promoter	4438	4438		-1000.50270392068
MA1633.2	BACH1	Jun-related	promoter	3423	3423		-1000.51153958516
MA2127.1	atf-2	CEBP-related	promoter	2392	2392		-1000.5008361204
MA2128.1	ceh-18	POU domain factors	promoter	2102	2102		-1000.52949571836
MA2129.1	ceh-23	NK	promoter	15017	15017		-1000.5119531198
MA2130.1	dmd-10	DMRT factors	promoter	3700	3700		-1000.50864864865
MA2131.1	egl-38	Paired domain only	promoter	4445	4445		-1000.50956130484
MA2132.1	egrh-1	Three-zinc finger Kruppel-related	promoter	4659	4659		-1000.50418544752
MA2133.1	elt-7	C4-GATA-related	promoter	6263	6263		-1000.51668529459
MA2134.1	end-3	C4-GATA-related	promoter	19393	19393		-1000.50987469706
MA2135.1	jun-1	Jun-related	promoter	3342	3342		-1000.51466187911
MA2136.1	klf-3	Three-zinc finger Kruppel-related	promoter	7417	7417		-1000.50694350816
MA2137.1	klu-1	More than 3 adjacent zinc fingers	promoter	3046	3046		-1000.49343401182
MA2138.1	klu-2	Three-zinc finger Kruppel-related	promoter	3696	3696		-1000.50676406926
MA2139.1	let-381	FOX	promoter	7589	7589		-1000.51390169983
MA2140.1	lin-31	FOX	promoter	4625	4625		-1000.51697297297
MA2141.1	lin-48	More than 3 adjacent zinc fingers	promoter	3071	3071		-1000.51807228916
MA2142.1	nhr-142	RXR-related receptors (NR2)	promoter	3432	3432		-1000.51835664336
MA2143.1	nhr-25	FTZF1related(NR5A)	promoter	3370	3370		-1000.50919881306
MA2144.1	nhr-5	RXR-related receptors (NR2)	promoter	3860	3860		-1000.51347150259
MA2145.1	nhr-70	RXR-related receptors (NR2)	promoter	5268	5268		-1000.50987091875
MA2146.1	nhr-86	Steroid hormone receptors (NR3)	promoter	3762	3762		-1000.50930356194
