chr	window	sample	mean_beta	n_cpgs	condition
chr1	57500000	C1	16.1716094747226	13557	Control
chr1	58500000	C1	15.4600771526881	17224	Control
chr1	59500000	C1	3.83859407575365	17503	Control
chr1	60500000	C1	15.3341514683005	17601	Control
chr1	61500000	C1	2.76212877392003	5658	Control
chr1	62500000	C1	4.94482182738329	14447	Control
chr1	63500000	C1	31.9018621896076	15938	Control
chr1	64500000	C1	22.0012162905353	12851	Control
chr1	65500000	C1	15.790152211126	9417	Control
chr1	66500000	C1	40.1661409806073	18895	Control
chr1	67500000	C1	53.3429227834665	18180	Control
chr1	68500000	C1	35.0498431015893	13850	Control
chr1	69500000	C1	21.9698920453817	14570	Control
chr1	70500000	C1	14.2516100387783	19556	Control
chr1	71500000	C1	10.2166266593233	19201	Control
chr1	72500000	C1	16.0196913628248	8584	Control
chr1	73500000	C1	19.187334268644	18009	Control
chr1	74500000	C1	15.463654679777	18990	Control
chr1	75500000	C1	15.0155818846853	13308	Control
chr1	76500000	C1	15.6864029446576	16206	Control
chr1	77500000	C1	15.2654626926978	13776	Control
chr1	78500000	C1	12.3773199219105	17420	Control
chr1	79500000	C1	12.3771230975971	15419	Control
chr1	80500000	C1	29.931293662035	16503	Control
chr1	81500000	C1	30.9626077447887	16594	Control
chr1	82500000	C1	17.765041206838	16504	Control
chr1	83500000	C1	0.262738742212742	9919	Control
chr1	84500000	C1	4.77356195968087	15240	Control
chr1	85500000	C1	36.2951217555979	16043	Control
chr1	86500000	C1	9.16544358338544	15191	Control
chr1	87500000	C1	5.42572975430047	15655	Control
chr1	88500000	C1	18.8355638774303	18246	Control
chr1	89500000	C1	0.334240949334302	4407	Control
chr1	90500000	C1	14.7504324089909	17727	Control
chr1	91500000	C1	25.4105466274769	18985	Control
chr1	92500000	C1	22.4363160137222	17643	Control
chr1	93500000	C1	8.02372598635089	14788	Control
chr1	94500000	C1	13.5348367764628	18484	Control
chr1	95500000	C1	20.1292482044523	17842	Control
chr1	96500000	C1	24.5597443276064	17889	Control
chr1	97500000	C1	8.64720845846648	19190	Control
chr1	98500000	C1	20.3781475689797	18764	Control
chr1	99500000	C1	8.82171697563503	16193	Control
chr1	100500000	C1	8.27024368152986	19714	Control
chr1	101500000	C1	11.598953993395	19775	Control
chr1	102500000	C1	16.8445771048701	17442	Control
chr1	103500000	C1	13.8528083967621	15871	Control
chr1	104500000	C1	3.27421322799752	17226	Control
chr1	105500000	C1	24.1522267066164	18253	Control
chr1	106500000	C1	19.0949949341283	17280	Control
chr1	107500000	C1	1.98532458757633	17821	Control
chr1	108500000	C1	17.8591246052009	7566	Control
chr1	109500000	C1	10.4944324605259	12146	Control
chr1	110500000	C1	3.96079509226247	19963	Control
chr1	111500000	C1	14.1344228853547	16388	Control
chr1	112500000	C1	16.5029489215101	20056	Control
chr1	113500000	C1	16.7412341569994	14868	Control
chr1	114500000	C1	14.6127437387575	16420	Control
chr1	115500000	C1	4.41835955456271	16585	Control
chr1	116500000	C1	24.802241595346	15922	Control
chr1	117500000	C1	11.9205440594881	11205	Control
chr1	118500000	C1	13.3648354714837	17277	Control
chr1	119500000	C1	12.9766522688404	15891	Control
chr1	120500000	C1	13.1384720060144	9596	Control
chr1	121500000	C1	4.67174765962765	20475	Control
chr1	122500000	C1	12.4870417535059	12133	Control
chr1	123500000	C1	21.7529779824714	9309	Control
chr1	124500000	C1	28.5933322006252	10855	Control
chr1	125500000	C1	30.3174247900995	7827	Control
chr1	126500000	C1	35.5935366750702	5004	Control
chr1	127500000	C1	53.3650443919207	7454	Control
chr1	128500000	C1	4.93894932210763	4420	Control
chr10	500000	C1	23.5898728409673	12166	Control
chr10	1500000	C1	7.18195303199919	7670	Control
chr10	2500000	C1	20.2364500486615	8262	Control
chr10	3500000	C1	13.0079435710331	10060	Control
chr10	4500000	C1	2.73467607281112	17812	Control
chr10	5500000	C1	0.255088437537876	15902	Control
chr10	6500000	C1	0.305790837945632	18880	Control
chr10	7500000	C1	0.269114884558272	7525	Control
chr10	8500000	C1	10.3130940516275	19875	Control
chr10	9500000	C1	28.3801209529337	14582	Control
chr10	10500000	C1	7.5170354907889	15194	Control
chr10	11500000	C1	15.3178347413254	18502	Control
chr10	12500000	C1	14.7751791056025	16098	Control
chr10	13500000	C1	25.7179343821703	16025	Control
chr10	14500000	C1	10.8005527868144	14849	Control
chr10	15500000	C1	45.6849085700396	12559	Control
chr10	16500000	C1	22.1693548801481	19025	Control
chr10	17500000	C1	27.9781293842078	15101	Control
chr10	18500000	C1	3.63975405486907	15646	Control
chr10	19500000	C1	6.07557123105307	14761	Control
chr10	20500000	C1	9.45524448033132	19622	Control
chr10	21500000	C1	15.5868386305301	14521	Control
chr10	22500000	C1	4.67097170634653	13789	Control
chr10	23500000	C1	21.6553526170328	13079	Control
chr10	24500000	C1	38.7173198807725	11666	Control
chr10	25500000	C1	7.7526542991904	18155	Control
chr10	26500000	C1	6.3472640217333	17524	Control
chr10	27500000	C1	12.1255460197702	15158	Control
chr10	28500000	C1	12.7657220396082	18367	Control
chr10	29500000	C1	22.2731780884163	18375	Control
chr10	30500000	C1	5.02675602114589	21563	Control
chr10	31500000	C1	5.68532460181878	19076	Control
chr10	32500000	C1	3.69618352833874	18449	Control
chr10	33500000	C1	8.12165551542714	19857	Control
chr10	34500000	C1	5.57247300086867	17463	Control
chr10	35500000	C1	3.55857056146542	15140	Control
chr10	36500000	C1	22.4561032695236	14990	Control
chr10	37500000	C1	27.1673097249859	14613	Control
chr10	38500000	C1	8.07202565991745	14301	Control
chr10	39500000	C1	54.3447876606152	13695	Control
chr10	40500000	C1	59.80804692014	14982	Control
chr10	41500000	C1	40.7464425568295	9613	Control
chr10	42500000	C1	8.91728610988591	12690	Control
chr10	43500000	C1	8.84941970881117	16422	Control
chr10	44500000	C1	16.6768429520134	11592	Control
chr10	45500000	C1	15.0289979809539	16584	Control
chr10	46500000	C1	30.462900711795	16488	Control
chr10	47500000	C1	25.3990144682135	17797	Control
chr10	48500000	C1	37.3987966551793	16222	Control
chr10	49500000	C1	37.9472372806494	18052	Control
chr10	50500000	C1	47.6299176932865	15868	Control
chr10	51500000	C1	18.3426511004101	14164	Control
chr10	52500000	C1	33.548430713457	18966	Control
chr10	53500000	C1	10.0685577408278	11439	Control
chr10	54500000	C1	6.77075791020837	10814	Control
chr10	55500000	C1	11.5638608030414	9381	Control
chr10	56500000	C1	7.35072158921388	8136	Control
chr10	57500000	C1	1.51127188393085	8478	Control
chr10	58500000	C1	8.57654779218834	7753	Control
chr10	59500000	C1	30.0671143292491	6937	Control
chr10	60500000	C1	0	4	Control
chr11	500000	C1	1.00982979372759	5714	Control
chr11	1500000	C1	32.6394010282508	10852	Control
chr11	2500000	C1	10.3698371501912	3943	Control
chr11	3500000	C1	0.304882042090695	4710	Control
chr11	4500000	C1	24.7359028390255	6484	Control
chr11	5500000	C1	21.6709357734649	14753	Control
chr11	6500000	C1	15.3688288725929	11310	Control
chr11	7500000	C1	10.3981728348612	16336	Control
chr11	8500000	C1	38.4753537124061	16513	Control
chr11	9500000	C1	17.1810899938688	12582	Control
chr11	10500000	C1	30.9399158252919	17856	Control
chr11	11500000	C1	40.2800304010973	11471	Control
chr11	12500000	C1	30.2026795696008	15676	Control
chr11	13500000	C1	9.78262098344971	16398	Control
chr11	14500000	C1	24.1644251534836	17907	Control
chr11	15500000	C1	0.266603612420766	17289	Control
chr11	16500000	C1	13.9969306423528	19053	Control
chr11	17500000	C1	6.65668896096163	14603	Control
chr11	18500000	C1	19.7750743342481	18669	Control
chr11	19500000	C1	28.8742003500255	17831	Control
chr11	20500000	C1	22.696144737358	15236	Control
chr11	21500000	C1	13.6164709014732	19296	Control
chr11	22500000	C1	9.32854166594879	20069	Control
chr11	23500000	C1	15.672080249205	12053	Control
chr11	24500000	C1	15.4953633052649	13869	Control
chr11	25500000	C1	7.3148806815129	16653	Control
chr11	26500000	C1	10.4083864930501	13169	Control
chr11	27500000	C1	14.8011411466638	12625	Control
chr11	28500000	C1	45.4564100981895	14985	Control
chr11	29500000	C1	28.2106446448742	16023	Control
chr11	30500000	C1	0.285322085481575	4237	Control
chr11	31500000	C1	16.4688459147205	10411	Control
chr11	32500000	C1	17.9489904353842	16096	Control
chr11	33500000	C1	2.25527745666576	6081	Control
chr11	34500000	C1	20.6574446706989	17631	Control
chr11	35500000	C1	5.20458693146402	20299	Control
chr11	36500000	C1	29.5772581718801	17591	Control
chr11	37500000	C1	28.0224655157087	16074	Control
chr11	38500000	C1	21.3361884074504	17725	Control
chr11	39500000	C1	12.0308106128355	15921	Control
chr11	40500000	C1	17.8727987219881	20507	Control
chr11	41500000	C1	17.674557729525	18813	Control
chr11	42500000	C1	8.45339818374516	21172	Control
chr11	43500000	C1	8.41485327857292	20333	Control
chr11	44500000	C1	12.0185654337886	10694	Control
chr11	45500000	C1	34.5097680311642	17695	Control
chr11	46500000	C1	20.866394960121	16750	Control
chr11	47500000	C1	11.8873826942169	16643	Control
chr11	48500000	C1	7.56867398856827	13687	Control
chr11	49500000	C1	21.0977919351038	15461	Control
chr11	50500000	C1	20.1595191332605	8823	Control
chr11	51500000	C1	4.55258101667713	15215	Control
chr11	52500000	C1	27.2481257677471	13279	Control
chr11	53500000	C1	26.1293725696952	15845	Control
chr11	54500000	C1	0.750333688103906	10405	Control
chr11	55500000	C1	31.3417924998242	11155	Control
chr11	56500000	C1	12.5637871777403	11316	Control
chr11	57500000	C1	0.545847031177891	5044	Control
chr11	58500000	C1	7.53542612668909	7247	Control
chr11	59500000	C1	2.51953724094943	1756	Control
chr11	60500000	C1	15.2121917120854	7022	Control
chr11	61500000	C1	64.2288877510971	1145	Control
chr12	500000	C1	0.309415981278161	6154	Control
chr12	1500000	C1	23.8361285206039	5797	Control
chr12	2500000	C1	33.4683550305638	10059	Control
chr12	3500000	C1	5.20048256013616	7498	Control
chr12	4500000	C1	0.272798952884591	7241	Control
chr12	5500000	C1	19.4286949025401	11175	Control
chr12	6500000	C1	5.54473375790499	13216	Control
chr12	7500000	C1	27.6039466522185	15792	Control
chr12	8500000	C1	0.277499979657045	13649	Control
chr12	9500000	C1	19.1918084864551	18240	Control
chr12	10500000	C1	19.1294606840443	18663	Control
chr12	11500000	C1	21.9245188105218	13703	Control
chr12	12500000	C1	16.7751054431668	16886	Control
chr12	13500000	C1	18.6060495007809	19123	Control
chr12	14500000	C1	5.48047554088099	12019	Control
chr12	15500000	C1	5.95909248203335	15008	Control
chr12	16500000	C1	9.83814478607306	14842	Control
chr12	17500000	C1	15.7537422491671	16910	Control
chr12	18500000	C1	6.38139068738916	9593	Control
chr12	19500000	C1	14.4358967913846	18444	Control
chr12	20500000	C1	15.9981646784536	19627	Control
chr12	21500000	C1	24.6938527155824	17964	Control
chr12	22500000	C1	11.6448006648161	8310	Control
chr12	23500000	C1	27.4968667365695	18800	Control
chr12	24500000	C1	7.91221435171361	12789	Control
chr12	25500000	C1	21.0741984857554	8926	Control
chr12	26500000	C1	14.6569331014196	16479	Control
chr12	27500000	C1	41.5478078810569	15861	Control
chr12	28500000	C1	5.60629719948469	14906	Control
chr12	29500000	C1	19.9066277759095	17399	Control
chr12	30500000	C1	13.4979457340412	16032	Control
chr12	31500000	C1	29.2846399466909	18001	Control
chr12	32500000	C1	18.0814578733889	19404	Control
chr12	33500000	C1	33.0897858245887	10543	Control
chr12	34500000	C1	19.2698615133429	12723	Control
chr12	35500000	C1	18.9286293335458	15469	Control
chr12	36500000	C1	35.5272433682151	17124	Control
chr12	37500000	C1	22.1976946208843	15471	Control
chr12	38500000	C1	0.345229042717808	17766	Control
chr12	39500000	C1	5.1524215556738	13616	Control
chr12	40500000	C1	29.1387245330221	15260	Control
chr12	41500000	C1	9.67568534373422	7283	Control
chr12	42500000	C1	47.3650756894724	10066	Control
chr12	43500000	C1	53.9541118788731	14918	Control
chr12	44500000	C1	43.5012754236896	13258	Control
chr12	45500000	C1	24.1750034682027	13441	Control
chr12	46500000	C1	12.8259166412512	13443	Control
chr12	47500000	C1	15.059133721466	16315	Control
chr12	48500000	C1	21.9015896843154	18443	Control
chr12	49500000	C1	43.1310264115038	15346	Control
chr12	50500000	C1	38.7218533529916	15956	Control
chr12	51500000	C1	31.239076759527	16195	Control
chr12	52500000	C1	28.1511252966023	17135	Control
chr12	53500000	C1	7.43838582564779	20938	Control
chr12	54500000	C1	14.5284047139879	17184	Control
chr12	55500000	C1	15.6570456594466	13741	Control
chr12	56500000	C1	13.4259222204529	10529	Control
chr12	57500000	C1	59.6581872203199	8611	Control
chr12	58500000	C1	53.9488969723364	7890	Control
chr12	59500000	C1	50.7744641453256	1913	Control
chr13	500000	C1	0.299982254866236	5537	Control
chr13	1500000	C1	0.46171152982598	2662	Control
chr13	2500000	C1	0.778220033741854	4600	Control
chr13	3500000	C1	49.2240199292868	8905	Control
chr13	4500000	C1	41.0923039072713	9131	Control
chr13	5500000	C1	18.1927545616023	12094	Control
chr13	6500000	C1	22.4676637988798	9680	Control
chr13	7500000	C1	10.1721836457641	9470	Control
chr13	8500000	C1	11.8141742647002	13430	Control
chr13	9500000	C1	9.62996677934852	13169	Control
chr13	10500000	C1	24.2450310338916	19038	Control
chr13	11500000	C1	1.60174305764791	16095	Control
chr13	12500000	C1	44.7722133561935	17303	Control
chr13	13500000	C1	13.3504075883658	15058	Control
chr13	14500000	C1	2.77880342620812	20236	Control
chr13	15500000	C1	5.96159253046771	17499	Control
chr13	16500000	C1	12.272377681495	15974	Control
chr13	17500000	C1	35.1401549162625	17611	Control
chr13	18500000	C1	33.5933337651702	16799	Control
chr13	19500000	C1	17.8843635860536	19212	Control
chr13	20500000	C1	21.2975753582763	19771	Control
chr13	21500000	C1	18.3685838446472	18927	Control
chr13	22500000	C1	9.94942152793919	17352	Control
chr13	23500000	C1	1.85620441317542	18287	Control
chr13	24500000	C1	2.47752103264452	15186	Control
chr13	25500000	C1	17.4557545442601	19314	Control
chr13	26500000	C1	19.4192567470654	16771	Control
chr13	27500000	C1	15.2118757973566	8710	Control
chr13	28500000	C1	42.833722920765	11758	Control
chr13	29500000	C1	56.8132165421822	18933	Control
chr13	30500000	C1	20.9330173329363	14760	Control
chr13	31500000	C1	6.09786012567386	15182	Control
chr13	32500000	C1	4.92630163666604	17105	Control
chr13	33500000	C1	8.49455093605162	13839	Control
chr13	34500000	C1	5.52900295024191	18687	Control
chr13	35500000	C1	34.6686803570766	14287	Control
chr13	36500000	C1	19.8437503716498	10688	Control
chr13	37500000	C1	3.47650153171563	10778	Control
chr13	38500000	C1	15.8207059012584	14864	Control
chr13	39500000	C1	40.6852034111589	16012	Control
chr13	40500000	C1	9.38457212920414	12243	Control
chr13	41500000	C1	11.6695215167756	15949	Control
chr13	42500000	C1	19.4083751421784	16334	Control
chr13	43500000	C1	16.5969484295266	18252	Control
chr13	44500000	C1	20.041328714669	19404	Control
chr13	45500000	C1	36.8613526242567	18145	Control
chr13	46500000	C1	2.91995690720942	12141	Control
chr13	47500000	C1	31.9749721873327	15955	Control
chr13	48500000	C1	30.0323195405991	16839	Control
chr13	49500000	C1	36.1432206602261	12559	Control
chr13	50500000	C1	38.0424806945642	12733	Control
chr13	51500000	C1	14.8795480482583	16114	Control
chr13	52500000	C1	20.9081434485225	14640	Control
chr13	53500000	C1	34.5106194344024	8666	Control
chr13	54500000	C1	57.0946504776046	8899	Control
chr13	55500000	C1	35.9534097261618	9672	Control
chr13	56500000	C1	5.86989970820279	8410	Control
chr13	57500000	C1	3.76300220263133	2375	Control
chr14	500000	C1	47.9117687053624	4632	Control
chr14	1500000	C1	17.6664994060911	4001	Control
chr14	2500000	C1	0.388628996189558	4676	Control
chr14	3500000	C1	20.7528155343542	7296	Control
chr14	4500000	C1	0.283260854661242	7340	Control
chr14	5500000	C1	13.9873655826715	9544	Control
chr14	6500000	C1	10.7033121028608	14770	Control
chr14	7500000	C1	6.83682098001162	8354	Control
chr14	8500000	C1	0.28698614557599	15887	Control
chr14	9500000	C1	0.307486191762419	12857	Control
chr14	10500000	C1	3.55179573279731	13812	Control
chr14	11500000	C1	11.4110186801749	13760	Control
chr14	12500000	C1	25.0312221585595	15381	Control
chr14	13500000	C1	16.389160805662	17242	Control
chr14	14500000	C1	1.02374166468625	20031	Control
chr14	15500000	C1	0.264550113287021	15468	Control
chr14	16500000	C1	14.2671899252231	11263	Control
chr14	17500000	C1	24.7276444695328	16411	Control
chr14	18500000	C1	18.41074813999	15918	Control
chr14	19500000	C1	43.0054414924159	15610	Control
chr14	20500000	C1	10.0262932604581	20622	Control
chr14	21500000	C1	7.5087016005763	16542	Control
chr14	22500000	C1	28.5823214166638	17586	Control
chr14	23500000	C1	7.04120635013324	15410	Control
chr14	24500000	C1	23.4219021781822	15187	Control
chr14	25500000	C1	23.8215806572987	16026	Control
chr14	26500000	C1	16.0972961117514	12537	Control
chr14	27500000	C1	9.66906378872393	15272	Control
chr14	28500000	C1	13.9666152163636	15752	Control
chr14	29500000	C1	20.1560408209904	14811	Control
chr14	30500000	C1	2.59500523289898	11737	Control
chr14	31500000	C1	3.16667495254157	17186	Control
chr14	32500000	C1	27.4165433296943	18356	Control
chr14	33500000	C1	12.9945685105114	18323	Control
chr14	34500000	C1	8.94018517935836	8339	Control
chr14	35500000	C1	30.0996908321181	13318	Control
chr14	36500000	C1	8.98983342684633	16898	Control
chr14	37500000	C1	8.53803850513103	18221	Control
chr14	38500000	C1	20.231607394555	16834	Control
chr14	39500000	C1	22.2419844513318	14362	Control
chr14	40500000	C1	37.0013043005533	12806	Control
chr14	41500000	C1	46.2898605651818	16565	Control
chr14	42500000	C1	13.9205563437864	16091	Control
chr14	43500000	C1	0.811977678772976	18776	Control
chr14	44500000	C1	1.32192687680764	7872	Control
chr14	45500000	C1	37.7226950942387	12886	Control
chr14	46500000	C1	24.9411617573835	18585	Control
chr14	47500000	C1	17.3246708013561	12289	Control
chr14	48500000	C1	24.9278989891416	11888	Control
chr14	49500000	C1	1.1153987740855	16556	Control
chr14	50500000	C1	0.271529231389827	15837	Control
chr14	51500000	C1	0.788584464188151	15733	Control
chr14	52500000	C1	4.38069943990523	17657	Control
chr14	53500000	C1	27.5950400520342	15982	Control
chr14	54500000	C1	3.35973248171823	17992	Control
chr14	55500000	C1	4.64737111524918	18896	Control
chr14	56500000	C1	19.2369665805435	16696	Control
chr14	57500000	C1	11.944973276794	16671	Control
chr14	58500000	C1	11.4062909852682	15263	Control
chr14	59500000	C1	8.38261985653912	18325	Control
chr14	60500000	C1	45.2427949881534	20053	Control
chr14	61500000	C1	36.495183408802	15463	Control
chr14	62500000	C1	28.3639546049686	11226	Control
chr14	63500000	C1	30.8970273921217	9020	Control
chr14	64500000	C1	22.1680944910641	4504	Control
chr14	65500000	C1	28.9225325193426	2247	Control
chr15	500000	C1	10.6672665005955	8194	Control
chr15	1500000	C1	69.7534847489488	5224	Control
chr15	2500000	C1	14.5107944847236	1984	Control
chr15	3500000	C1	61.2110601296288	6649	Control
chr15	4500000	C1	41.4601083065578	5681	Control
chr15	5500000	C1	0.258565615643834	9686	Control
chr15	6500000	C1	0.279418652515176	4948	Control
chr15	7500000	C1	12.3568851371518	5949	Control
chr15	8500000	C1	3.31129577208469	9140	Control
chr15	9500000	C1	2.02397729303639	11546	Control
chr15	10500000	C1	8.94596140775471	9604	Control
chr15	11500000	C1	34.5128310834677	14096	Control
chr15	12500000	C1	27.3469880268147	9407	Control
chr15	13500000	C1	9.19903345890983	10041	Control
chr15	14500000	C1	24.4517582066807	16769	Control
chr15	15500000	C1	7.24745677737813	11365	Control
chr15	16500000	C1	8.02189286335296	14259	Control
chr15	17500000	C1	6.14553903331488	20212	Control
chr15	18500000	C1	17.4250342665803	14089	Control
chr15	19500000	C1	13.6777399500838	9923	Control
chr15	20500000	C1	2.20854808452174	14307	Control
chr15	21500000	C1	11.8495453377223	13717	Control
chr15	22500000	C1	12.1761991112972	16137	Control
chr15	23500000	C1	22.029873729263	14873	Control
chr15	24500000	C1	16.2364849109352	16343	Control
chr15	25500000	C1	5.52810945849382	14700	Control
chr15	26500000	C1	4.58694500343006	19110	Control
chr15	27500000	C1	21.8451209508269	17800	Control
chr15	28500000	C1	5.22437300158403	21086	Control
chr15	29500000	C1	16.1766284863435	19977	Control
chr15	30500000	C1	30.9174546895627	16851	Control
chr15	31500000	C1	9.97001464654139	15484	Control
chr15	32500000	C1	24.3154667164399	13600	Control
chr15	33500000	C1	15.8707291988025	16042	Control
chr15	34500000	C1	13.5055817351983	17763	Control
chr15	35500000	C1	9.91327515486877	17746	Control
chr15	36500000	C1	7.96431179778119	17097	Control
chr15	37500000	C1	0.303816665433222	15755	Control
chr15	38500000	C1	19.7559109446549	8679	Control
chr15	39500000	C1	1.22757955076412	17011	Control
chr15	40500000	C1	18.5406143690848	15837	Control
chr15	41500000	C1	28.5094296308447	19644	Control
chr15	42500000	C1	15.4537056602915	16779	Control
chr15	43500000	C1	11.0171101845135	19012	Control
chr15	44500000	C1	9.97983425100452	15950	Control
chr15	45500000	C1	26.7747728993001	16703	Control
chr15	46500000	C1	25.6775094762798	21095	Control
chr15	47500000	C1	14.4490502380174	17516	Control
chr15	48500000	C1	19.1403042799487	18237	Control
chr15	49500000	C1	23.4646275551014	19932	Control
chr15	50500000	C1	9.95647379230415	18667	Control
chr15	51500000	C1	0.260767131726656	12381	Control
chr15	52500000	C1	21.8945593571254	17033	Control
chr15	53500000	C1	38.5027692730592	15406	Control
chr15	54500000	C1	34.4927304539294	18058	Control
chr15	55500000	C1	28.0106320957593	12140	Control
chr15	56500000	C1	12.1573955439799	13166	Control
chr15	57500000	C1	8.90589076453936	13363	Control
chr15	58500000	C1	26.6151391566074	17771	Control
chr15	59500000	C1	38.302080143417	17211	Control
chr15	60500000	C1	6.13181222692512	11122	Control
chr15	61500000	C1	9.26591946107773	10464	Control
chr15	62500000	C1	40.0773761874887	4193	Control
chr16	500000	C1	0.459952616178413	2878	Control
chr16	1500000	C1	51.3760790065906	7798	Control
chr16	2500000	C1	5.33106196773662	3361	Control
chr16	3500000	C1	25.5966726042138	4238	Control
chr16	4500000	C1	24.2020908432504	12187	Control
chr16	5500000	C1	23.1914484501967	12747	Control
chr16	6500000	C1	0.265299692132999	4770	Control
chr16	7500000	C1	6.82633712378927	12484	Control
chr16	8500000	C1	36.09777711386	15283	Control
chr16	9500000	C1	4.96542141283107	14403	Control
chr16	10500000	C1	18.7508934504614	17235	Control
chr16	11500000	C1	10.7454721352718	15903	Control
chr16	12500000	C1	7.47901394046657	16654	Control
chr16	13500000	C1	30.6612866400684	16693	Control
chr16	14500000	C1	24.9698523575761	19223	Control
chr16	15500000	C1	6.54327665538311	19129	Control
chr16	16500000	C1	42.351392393778	16841	Control
chr16	17500000	C1	32.8924114073557	16529	Control
chr16	18500000	C1	26.9984000265283	19116	Control
chr16	19500000	C1	16.7602631325503	17369	Control
chr16	20500000	C1	24.8572576726241	15542	Control
chr16	21500000	C1	37.7415772375351	16060	Control
chr16	22500000	C1	40.9593865234408	15684	Control
chr16	23500000	C1	29.2866076036234	16874	Control
chr16	24500000	C1	12.9915958716468	13945	Control
chr16	25500000	C1	14.5557037496342	19781	Control
chr16	26500000	C1	8.26953601667875	14518	Control
chr16	27500000	C1	25.5449593218319	12011	Control
chr16	28500000	C1	51.5161526233936	13199	Control
chr16	29500000	C1	27.1747674172208	13098	Control
chr16	30500000	C1	33.9391650665591	15161	Control
chr16	31500000	C1	3.90081522700742	12707	Control
chr16	32500000	C1	10.3132885783496	13270	Control
chr16	33500000	C1	5.49331239249325	15486	Control
chr16	34500000	C1	5.26125376588994	11007	Control
chr16	35500000	C1	3.18683995930564	14333	Control
chr16	36500000	C1	17.6887668699007	12100	Control
chr16	37500000	C1	20.3807972307723	17925	Control
chr16	38500000	C1	14.9150630172985	17331	Control
chr16	39500000	C1	14.0264201625501	13482	Control
chr16	40500000	C1	19.4383885588564	18038	Control
chr16	41500000	C1	6.14459646564947	10101	Control
chr16	42500000	C1	8.96847911994831	9658	Control
chr16	43500000	C1	29.158085941823	16706	Control
chr16	44500000	C1	27.223643857102	15525	Control
chr16	45500000	C1	14.3312975579223	18559	Control
chr16	46500000	C1	8.48583463639843	18114	Control
chr16	47500000	C1	8.5244689766936	19050	Control
chr16	48500000	C1	24.6477957456557	15610	Control
chr16	49500000	C1	27.3369305699909	10071	Control
chr16	50500000	C1	10.627756449379	14885	Control
chr16	51500000	C1	0.260238877526823	15571	Control
chr16	52500000	C1	0.649968386978964	13374	Control
chr16	53500000	C1	10.932829129333	12609	Control
chr16	54500000	C1	19.4574407244233	8889	Control
chr16	55500000	C1	37.5755637953579	6392	Control
chr16	56500000	C1	60.0457661265052	1167	Control
chr17	500000	C1	14.6715195581535	2567	Control
chr17	1500000	C1	12.0116265834776	2790	Control
chr17	2500000	C1	48.5586049820432	8765	Control
chr17	3500000	C1	12.6765832361622	4243	Control
