chr	start	end	length	nCG	meanMethy1	meanMethy2	diff.Methy	areaStat
chr1	123381697	123382249	553	17	0.523893123412551	0.229368273121623	0.294524850290928	117.713039429046
chr30	25491125	25491581	457	20	0.262145163553372	0.52471078981064	-0.262565626257268	-116.535613350054
chr20	29365280	29366073	794	17	0.347789783605588	0.072524349014164	0.275265434591424	114.850593622892
chr23	30369340	30369814	475	16	0.113462456627265	0.363668141966713	-0.250205685339448	-113.591788697705
chr11	32437505	32437936	432	17	0.702114321734942	0.422774006759412	0.27934031497553	113.384543910441
chr17	49978797	49979175	379	19	0.400925440099625	0.200194217092072	0.200731223007553	112.661528261287
chr11	45044685	45044964	280	13	0.500744851922103	0.104109407283865	0.396635444638238	111.291141264845
chr3	55076826	55077153	328	19	0.0351190025102221	0.238348638288962	-0.20322963577874	-110.177374755721
chr1	123603098	123603348	251	16	0.347226980312298	0.0283299606791074	0.31889701963319	109.892234346947
chr24	9284911	9285431	521	14	0.153515913739675	0.506784599943492	-0.353268686203816	-109.462709305536
chr22	17818348	17818735	388	18	0.606241291324175	0.322467942420551	0.283773348903624	108.493644849099
chr29	20424931	20425620	690	19	0.259340758244609	0.588013588067804	-0.328672829823195	-106.197311876039
chr18	38829661	38830024	364	13	0.396693722358295	0.765901117239522	-0.369207394881227	-105.486350738955
chr12	32388920	32389132	213	19	0.107453264350103	0.309687674830416	-0.202234410480313	-105.031386716151
chr5	42845535	42846177	643	13	0.412764841773461	0.0178726736676941	0.394892168105767	103.937334296516
chr6	57504667	57505096	430	19	0.359662987395724	0.118426724197212	0.241236263198512	102.938242216411
chr1	21381831	21382302	472	13	0.57480050997738	0.128388667904421	0.44641184207296	102.913900060228
chr3	29328707	29328986	280	14	0.121319656275601	0.512943992541612	-0.391624336266012	-102.19548438505
chr1	45250349	45250844	496	14	0.24078830558661	0.530438564528597	-0.289650258941987	-101.445658251464
chr10	36799352	36799796	445	19	0.25930804645514	0.487495725474533	-0.228187679019393	-101.129057118983
chr15	30735750	30736074	325	19	0.676973932899328	0.875958055627243	-0.198984122727915	-100.926323156506
chr23	20104823	20105394	572	17	0.294734643713572	0.565879189993949	-0.271144546280377	-100.651674558882
chr6	33853106	33853419	314	18	0.300964377894944	0.10290061071978	0.198063767175165	100.37184354702
chr7	55646042	55646414	373	13	0.184637516256016	0.505622677058365	-0.320985160802349	-99.4706432788295
chr17	54649821	54650141	321	19	0.420335197754254	0.234854362022805	0.185480835731449	98.875195377825
chr8	12841612	12842059	448	15	0.0809494151327887	0.313546880153061	-0.232597465020272	-98.3144740565413
chr1	123776681	123777616	936	18	0.274968602581848	0.530350824747909	-0.255382222166062	-96.5280761860249
chr2	33072049	33072317	269	21	0.266578293073245	0.460738602432023	-0.194160309358779	-96.3280977677334
chr10	45827144	45827496	353	18	0.496193659999351	0.303367366839837	0.192826293159514	96.3056907181097
chr5	52523849	52524367	519	18	0.429601275576826	0.67084166032615	-0.241240384749323	-96.2517759782869
chr16	55842906	55843345	440	17	0.0697896051832146	0.287417174061214	-0.217627568878	-95.4591324533819
chr12	44057728	44058180	453	15	0.382109198477296	0.765420696005732	-0.383311497528437	-95.1228540999491
chr14	46273125	46273325	201	11	0.0420422737225662	0.436351890192717	-0.394309616470151	-94.4397489860307
chr15	8926705	8927093	389	15	0.121472431739275	0.357306282561901	-0.235833850822626	-93.4993695495805
chr25	9229128	9229400	273	20	0.691533090808772	0.511939789879547	0.179593300929225	93.4847609264907
chr5	13866771	13867264	494	14	0.280902298117289	0.0337530791063784	0.24714921901091	92.9966510920092
chr18	1785852	1786309	458	17	0.250637000515684	0.523675832635601	-0.273038832119917	-92.1041377518713
chr11	56115312	56115746	435	17	0.328988647306336	0.585273806096849	-0.256285158790513	-92.0434029305281
chr16	29224333	29224994	662	16	0.311371310328178	0.600957546198333	-0.289586235870155	-91.3827734446784
chr1	77960823	77961352	530	17	0.31222393323539	0.556967691478638	-0.244743758243248	-90.7966229699655
chr28	29107453	29107838	386	18	0.591129208453799	0.339683718454335	0.251445489999464	90.4937651234704
chr26	11553491	11554132	642	15	0.230370527617503	0.518263095491279	-0.287892567873776	-90.1254781340184
chr5	45639703	45640042	340	20	0.235722187421917	0.480521283120824	-0.244799095698907	-89.6641522943677
chr11	45073547	45073859	313	17	0.536179439217856	0.23673358234388	0.299445856873975	89.2006384582562
chr9	70753994	70754388	395	18	0.251709344526623	0.0240436421370223	0.227665702389601	88.4531775728352
chr8	23149535	23149939	405	19	0.0797168147695128	0.307033143218446	-0.227316328448934	-87.7565237711819
chr27	9551872	9552325	454	14	0.317963515044099	0.611698339808129	-0.293734824764029	-87.4192014081437
chr6	39686503	39687033	531	15	0.717943949078964	0.4973977195481	0.220546229530865	86.8766960767873
chr28	16196463	16196698	236	16	0.149836618039447	0.354805428482453	-0.204968810443006	-86.5833537010055
chr13	15305702	15306272	571	13	0.562454315555074	0.212114244549863	0.350340071005211	86.2679261001745
chr12	48028886	48029358	473	14	0.208228511733206	0.505763509346459	-0.297534997613253	-86.1559537595869
chr6	20691219	20692033	815	15	0.274152664229618	0.572524427495532	-0.298371763265915	-85.9516417241352
chr15	10883490	10883861	372	19	0.28391707587449	0.0929338988874091	0.190983176987081	85.767793110712
chr28	14961885	14962331	447	18	0.191647607242486	0.393703271723083	-0.202055664480597	-85.1885797272348
chr2	40568174	40568745	572	14	0.439035856395468	0.145402305204551	0.293633551190917	84.9894679061035
chr28	2745125	2746012	888	20	0.558109287412732	0.325676784971207	0.232432502441525	84.987361070527
chr1	44945280	44945649	370	11	0.4037567457363	0.0141047746560094	0.389651971080291	84.4541388900542
chr17	18626045	18626395	351	18	0.334038678722169	0.135511490109669	0.1985271886125	84.1070491196159
chr1	69515014	69515331	318	19	0.217933470936362	0.476257545427133	-0.258324074490771	-83.910615413943
chr24	36840678	36841028	351	17	0.214718862765032	0.482485220500809	-0.267766357735777	-83.679602277506
chr11	5971226	5971706	481	14	0.180235583089263	0.487781976921988	-0.307546393832725	-82.5311054040484
chr4	17435886	17436284	399	12	0.114500881683552	0.376519850276676	-0.262018968593124	-82.436747328608
chr9	34279482	34279781	300	15	0.446453451010808	0.213903750907476	0.232549700103331	82.3639836938808
chr28	22417047	22417550	504	13	0.414293248948262	0.0637607539136201	0.350532495034642	81.3466148554975
chr12	36857128	36857550	423	14	0.142067010602809	0.438590162505705	-0.296523151902897	-81.3369968283735
chr1	124014857	124015245	389	15	0.344708313613383	0.0987701238843898	0.245938189728993	80.9031834488035
chr4	10669192	10669732	541	16	0.371192979231221	0.642585789224781	-0.27139280999356	-80.7169883980499
chr25	34299800	34300067	268	15	0.244394154220177	0.0734983103592207	0.170895843860956	80.5482626506197
chr13	50073931	50074245	315	14	0.634773815083257	0.40612027765018	0.228653537433077	80.3207012215234
chr15	19826985	19827622	638	14	0.0952100224244759	0.344274582658638	-0.249064560234162	-80.311328832407
chr1	14401555	14401958	404	14	0.455898683357204	0.720876254714196	-0.264977571356992	-80.2436787978709
chr28	28447997	28448663	667	15	0.553175930260884	0.237875727490201	0.315300202770683	79.811448664946
chr7	23256267	23256512	246	15	0.336574217803641	0.137148310858609	0.199425906945031	79.3921043505172
chr15	1823116	1823366	251	13	0.337423531845775	0.154475149493539	0.182948382352236	79.2093549754413
chr8	15963858	15964246	389	15	0.12054108374068	0.316491486154309	-0.195950402413629	-79.2068858778594
chr14	33020661	33021086	426	13	0.121752410824618	0.390429331679737	-0.268676920855119	-78.9757586389902
chr16	44402728	44403072	345	12	0.438181911592216	0.761347673935136	-0.323165762342921	-78.4703861792396
chr25	15248144	15248484	341	14	0.201548648532671	0.470347503471538	-0.268798854938867	-78.0757509457299
chr2	19803621	19804091	471	14	0.517305476870288	0.246251418730647	0.271054058139641	78.0507496068418
chr11	52339418	52339580	163	12	0.200721192217015	0.00664950559963584	0.194071686617379	77.6200003380453
chr18	14953018	14953456	439	15	0.262584206514967	0.0582274582340065	0.204356748280961	77.3880652189773
chr1	72012665	72012953	289	14	0.301662136963279	0.0932081754840458	0.208453961479233	77.0932363992372
chr30	24328546	24328885	340	14	0.40602424323798	0.14360434036158	0.2624199028764	76.6903035820001
chr14	10731167	10731879	713	9	0.22531910573896	0.761292468248055	-0.535973362509096	-76.6010948992443
chr27	16707012	16707584	573	15	0.249890681490021	0.485350144344012	-0.235459462853991	-75.3784402194194
chr9	45396305	45396671	367	10	0.456453251545451	0.779899412963635	-0.323446161418184	-75.3764123401116
chr1	26528949	26529165	217	14	0.0746355446143636	0.261342276778153	-0.186706732163789	-74.9602705945362
chr22	17118562	17119020	459	15	0.0842074467356279	0.289777479601445	-0.205570032865817	-74.8229761580401
chr3	48997346	48997993	648	13	0.138083069143435	0.437726510666164	-0.29964344152273	-74.6000965996313
chr23	12907124	12907521	398	13	0.104309531335535	0.309577146582008	-0.205267615246472	-74.5706910106944
chr4	43935671	43936053	383	13	0.287558911293444	0.560256810931694	-0.27269789963825	-74.4189974994996
chr13	45559114	45559573	460	12	0.197035938996527	0.57817703465266	-0.381141095656133	-74.1719894228015
chr25	33259162	33259582	421	15	0.330853318551545	0.0855982188514461	0.245255099700099	74.0129601546217
chr24	37525909	37526171	263	17	0.650034437589908	0.435498408817838	0.21453602877207	73.5098411499173
chr14	40572275	40572655	381	15	0.458065965456635	0.677996833653003	-0.219930868196368	-73.226214411803
chr7	56778617	56779005	389	15	0.462916981560233	0.714881603441162	-0.251964621880929	-73.2011191865995
chr10	13656276	13656595	320	12	0.368204299805035	0.121562023351285	0.24664227645375	73.1810651547404
chr8	38652510	38652908	399	11	0.500738116652208	0.14291175675964	0.357826359892568	73.0019576732286
chr11	8840760	8841064	305	16	0.342346375573471	0.155731644631717	0.186614730941754	72.9997007341593
chr13	46915920	46916419	500	13	0.0871403692048675	0.394798029721487	-0.30765766051662	-72.990913170349
chr1	100112943	100113307	365	14	0.0874097225592792	0.282657012443945	-0.195247289884666	-72.8141089128604
chr24	11763556	11763973	418	14	0.277328720473001	0.0370638325112652	0.240264887961736	72.6181180689046
chr31	11556845	11557221	377	11	0.554550203341619	0.213289467959574	0.341260735382045	72.1758285927465
chr7	15511786	15512068	283	12	0.393561099784587	0.189806510489025	0.203754589295562	72.0488644898723
chr2	51235454	51235706	253	18	0.40359070798293	0.664879453988545	-0.261288746005614	-72.0391902929774
chr2	53026318	53026540	223	11	0.0492660573329736	0.279552775615533	-0.230286718282559	-71.9714164750248
chr21	32972624	32972925	302	13	0.781168470797058	0.483617454410858	0.2975510163862	71.912376543994
chr25	8445170	8445678	509	16	0.595880983410101	0.800182141722559	-0.204301158312459	-71.9052227354209
chr5	52474836	52475175	340	13	0.607923895062476	0.841329644912121	-0.233405749849645	-71.8243038287224
chr21	42112600	42113142	543	13	0.168447774421268	0.450726032686936	-0.282278258265668	-71.7542912671546
chr25	9928045	9928537	493	12	0.555234332329743	0.256205730795063	0.299028601534681	71.7093770597691
chr29	9608529	9608917	389	13	0.447951075285732	0.144035041704067	0.303916033581665	71.3602298038762
chr5	52881760	52881950	191	13	0.247348416293341	0.52158484920946	-0.27423643291612	-71.359896512475
chr2	57933516	57933874	359	11	0.362094659054257	0.0653934998616491	0.296701159192608	71.2949202575541
chr25	8215777	8216135	359	14	0.523715253108292	0.295146578131144	0.228568674977148	71.2476681737511
chr23	34652444	34653064	621	13	0.598404546480835	0.889054326724472	-0.290649780243637	-71.2404045476437
chr8	43373023	43374498	1476	15	0.382874105383554	0.11888587629538	0.263988229088174	71.2395195756148
chr11	42924960	42925552	593	12	0.327848100226686	0.66255946358319	-0.334711363356504	-70.7310358157127
chr12	22083419	22083707	289	13	0.367942294078567	0.153605185103234	0.214337108975333	70.4747720996247
chr21	18096984	18097291	308	14	0.629802669916014	0.392683944443615	0.237118725472399	70.4423607027453
chr7	46322644	46322943	300	12	0.112571819048889	0.32668390027207	-0.21411208122318	-70.2906877379252
chr10	8400084	8400526	443	15	0.403810498788155	0.665799734142541	-0.261989235354386	-69.995803634022
chr9	24305260	24305547	288	14	0.55135389926252	0.788613574130706	-0.237259674868186	-69.9108423136539
chr8	64665609	64665931	323	13	0.448963179991546	0.118998303001579	0.329964876989967	69.8961338171088
chr3	68039686	68040015	330	13	0.414205927076573	0.653356607495218	-0.239150680418645	-69.8668110241716
chr9	59497602	59497846	245	13	0.0240133466591163	0.1885527642031	-0.164539417543984	-69.7774293878166
chr19	32914639	32915036	398	11	0.444486305123789	0.152280424200696	0.292205880923092	69.5922105735235
chr27	2338040	2338362	323	12	0.313569736562587	0.606331612278084	-0.292761875715497	-69.5538097964821
chr24	3587662	3588251	590	12	0.36949323366685	0.0834583652185333	0.286034868448317	69.2060558251881
chr14	39353899	39354308	410	11	0.0599608759409656	0.284289816857163	-0.224328940916197	-69.0261100255863
chr23	38119918	38120307	390	15	0.289781387461531	0.0515606644114452	0.238220723050086	68.580405744573
chr7	33486082	33486530	449	10	0.402858941663547	0.0772621400319725	0.325596801631575	67.9711739584024
chr1	7726334	7726666	333	17	0.33550066234104	0.53182710190571	-0.19632643956467	-67.3579216539341
chr15	18604960	18605415	456	11	0.175479775431326	0.477411260832922	-0.301931485401597	-67.321827012416
chr1	67999910	68000423	514	11	0.305714487799626	0.628201157256913	-0.322486669457287	-66.9026508450238
chr6	72106670	72106894	225	10	0.0684003454270812	0.324894001874089	-0.256493656447007	-66.7636925002245
chr26	20417232	20417881	650	13	0.255776535458387	0.0183664803265505	0.237410055131837	66.6664849466838
chr2	10301943	10302606	664	13	0.344981518942712	0.105688078693023	0.239293440249689	66.6205392387004
chr2	46404806	46405186	381	16	0.441887526240766	0.680333366151325	-0.238445839910559	-66.1942501550902
chr5	42432088	42432320	233	13	0.76475188713625	0.580654852141554	0.184097034994696	66.0959213199604
chr7	63049851	63050195	345	11	0.559322820482127	0.265917333843146	0.293405486638981	65.2902309781429
chr7	44502612	44503357	746	9	0.481845852490483	0.103694465551557	0.378151386938926	64.9993640313392
chr13	41859225	41859589	365	12	0.202778312619789	0.490699779000488	-0.2879214663807	-64.0515941824867
chr17	43415616	43416068	453	13	0.0212860377594324	0.201492965189246	-0.180206927429814	-63.9500572556226
chr6	53456735	53457115	381	11	0.124297572769105	0.366122900990563	-0.241825328221458	-63.8032164760511
chr11	33847381	33847709	329	12	0.12439130496023	0.388455858737135	-0.264064553776905	-63.6111215484335
chr1	47765433	47765642	210	10	0.590334687390339	0.245427246989746	0.344907440400593	63.5734581745809
chr5	64635264	64635578	315	11	0.451982296933821	0.205022946466469	0.246959350467352	63.4050665161545
chr17	41765288	41765672	385	11	0.646421115377548	0.349206688851363	0.297214426526185	63.3479230721308
chr5	57666258	57666616	359	9	0.14308572075559	0.474569439232331	-0.331483718476742	-63.2979655605229
chr6	20040449	20040849	401	11	0.246141743001622	0.042673495831824	0.203468247169798	63.2960371115683
chr4	44466689	44466866	178	16	0.35057468898289	0.560303122881099	-0.209728433898209	-63.2600070986069
chr13	38869477	38869789	313	10	0.236730801115605	0.0215850358877106	0.215145765227894	63.2144816075533
chr5	17269209	17269608	400	13	0.668899772631374	0.867808105872776	-0.198908333241402	-63.027998872682
chr1	36069353	36069665	313	11	0.356062165488763	0.136215257559365	0.219846907929398	62.9029657489077
chr2	10971058	10971362	305	13	0.476675939111486	0.278535498540502	0.198140440570983	62.887046949612
chr20	19220848	19221110	263	11	0.107542467922086	0.332396257899934	-0.224853789977849	-62.8684617079907
chr6	6130148	6130953	806	13	0.111779321333313	0.369811582521169	-0.258032261187855	-62.5351404679138
chr24	11518539	11519202	664	13	0.198797519712522	0.466564832512507	-0.267767312799985	-62.4131504610537
chr25	7260545	7260812	268	17	0.648029517824488	0.441229053393024	0.206800464431464	62.0830429754992
chr19	29188196	29188562	367	12	0.364549719959572	0.0828450087079979	0.281704711251574	62.0633138687176
chr15	4169627	4169896	270	12	0.334042567880019	0.0444626886300134	0.289579879250005	61.6358164092857
chr14	12265466	12265742	277	11	0.0617510487670375	0.232596700670148	-0.170845651903111	-61.5025678962177
chr24	24058436	24058612	177	12	0.692811776973501	0.4867010428931	0.206110734080401	61.4860200810231
chr13	51115012	51115887	876	12	0.434917455052612	0.731369000061606	-0.296451545008994	-61.3101911572651
chr7	27542253	27542546	294	13	0.523824855175126	0.718961429280422	-0.195136574105296	-61.2653589895616
chr1	23965267	23965704	438	10	0.204874967853074	0.539669200652387	-0.334794232799313	-61.0958596581567
chr17	25802215	25802682	468	13	0.424570470752829	0.166380237309142	0.258190233443688	60.393906156478
chr18	35933729	35934123	395	11	0.388473210371147	0.131449163268525	0.257024047102623	60.3695312881593
chr5	7430329	7430647	319	12	0.462216043555151	0.17967932230113	0.28253672125402	60.3066423014001
chr31	3618779	3619061	283	14	0.408223204460746	0.629977697704792	-0.221754493244046	-60.2757878832292
chr15	41186900	41187224	325	11	0.229697217788642	0.046607522264075	0.183089695524567	60.2672619968268
chr1	11780383	11780775	393	11	0.29528475554833	0.0613531317053977	0.233931623842932	60.0395176456656
chr16	4754308	4754645	338	12	0.141045620058015	0.360347007512888	-0.219301387454873	-59.9676867576598
chr14	63741608	63741959	352	10	0.479723456514395	0.799357533933769	-0.319634077419374	-59.6789488666526
chr24	10458709	10459047	339	10	0.1189934173915	0.430426730295093	-0.311433312903594	-59.429404516604
chr6	41703088	41703389	302	14	0.754634724263417	0.571010443601004	0.183624280662413	59.4049300753695
chr5	53316433	53316871	439	11	0.419862570949671	0.71996300737287	-0.300100436423199	-59.2803128174491
chr4	27033185	27033469	285	16	0.265320499812456	0.475345752151547	-0.210025252339091	-59.1515529112419
chr5	45445660	45445976	317	12	0.290424049810443	0.0931125182425883	0.197311531567855	58.9819591143542
chr2	15665321	15665768	448	11	0.405934506999429	0.123550873458949	0.282383633540479	58.9775158663327
chr12	46653685	46654211	527	15	0.557889679271532	0.347536121051735	0.210353558219797	58.9593734979419
chr6	28079295	28079575	281	12	0.329854484185735	0.515589415189535	-0.1857349310038	-58.8586176408459
chr8	60096214	60096504	291	11	0.335148045720812	0.595895426562271	-0.260747380841458	-58.7415713458051
chr19	39812886	39813134	249	9	0.151384459551208	0.385889518690981	-0.234505059139773	-58.6797742137749
chr30	21747732	21748187	456	14	0.478825910780972	0.661695125830885	-0.182869215049914	-58.6594491814742
chr4	51823405	51823683	279	12	0.189973150199727	0.527182987225868	-0.337209837026141	-58.2059942285682
chr24	4174507	4174824	318	10	0.266047237887448	0.617225662454587	-0.351178424567139	-58.1823862715288
chr2	36428298	36428595	298	10	0.351729424404727	0.626965177157882	-0.275235752753155	-57.9199888695576
chr4	46210160	46210386	227	13	0.313886766435141	0.122307080437396	0.191579685997745	57.8843702814652
chr25	24194273	24194667	395	11	0.414435525633855	0.720280654535266	-0.305845128901411	-57.702407980584
chr21	46024132	46024790	659	13	0.377844579326487	0.230613717876757	0.14723086144973	57.4136512359006
chr5	53914105	53914666	562	11	0.437062950705166	0.72404996295424	-0.286987012249073	-57.2951407263758
chr3	54498101	54498365	265	10	0.248047054732095	0.0267700111488719	0.221277043583223	57.1998652734423
chr10	40206555	40206863	309	14	0.412667464584936	0.633219589946364	-0.220552125361427	-57.1989674185962
chr2	31681581	31681777	197	13	0.336169546038977	0.111922680437924	0.224246865601053	57.1757163997181
chr3	40186240	40186520	281	12	0.178258129209434	0.01181724280274	0.166440886406694	57.0650595750888
chr27	16637419	16637864	446	9	0.149054895748304	0.477468281087408	-0.328413385339104	-56.9307796918956
chr26	6539023	6539409	387	13	0.372291718782778	0.638452010264645	-0.266160291481866	-56.762877004767
chr13	21830174	21830582	409	13	0.638474751774444	0.386012951640879	0.252461800133565	56.6404848880793
chr29	10626286	10626558	273	13	0.361785729956341	0.565786466653409	-0.204000736697068	-56.5987074021356
chr16	43744228	43744411	184	13	0.440003315740426	0.221533082368475	0.218470233371951	56.5200214873573
chr11	31951388	31951616	229	11	0.383877208938683	0.6012530599184	-0.217375850979717	-56.4218556422096
chr22	20318414	20318969	556	9	0.273048712908963	0.597419105821474	-0.324370392912511	-56.3720340126032
chr18	48913818	48914186	369	10	0.434836105632538	0.120856106939791	0.313979998692747	55.9947536135277
chr2	426489	426710	222	10	0.0591886749961447	0.316619263864673	-0.257430588868528	-55.8517001523438
chr1	3113516	3113679	164	11	0.195431651518464	0.00628339535462589	0.189148256163838	55.2278118021828
chr28	34213855	34214123	269	13	0.676078695208601	0.423979083080729	0.252099612127872	55.1728721169004
chr15	21729016	21729213	198	10	0.273818167647285	0.0925992574699188	0.181218910177366	55.142826488224
chr27	6722735	6723081	347	9	0.163011903511366	0.449062485088678	-0.286050581577313	-55.000150905228
chr3	50953466	50953711	246	12	0.724212402652911	0.517802292012757	0.206410110640153	54.9706996140915
chr3	55315146	55315605	460	10	0.263547665360317	0.600865596001209	-0.337317930640892	-54.9616704896763
chr17	43510917	43511182	266	9	0.165173697369064	0.521326408796084	-0.35615271142702	-54.9203940794796
chr17	33474862	33475365	504	9	0.243119564930281	0.0130823501114812	0.2300372148188	54.8737301743579
chr21	33860473	33860843	371	10	0.223633891939394	0.0303000783671688	0.193333813572225	54.7985963489971
chr2	52136519	52137099	581	10	0.417445319994335	0.725897163500243	-0.308451843505908	-54.7544392416766
chr21	5373470	5373607	138	11	0.203887378841438	0.0497217796482515	0.154165599193187	54.7440481612382
chr9	30890822	30891048	227	11	0.195254528894317	0.025331573599576	0.169922955294741	54.6231498518977
chr22	21216908	21217254	347	11	0.182577104910951	0.404169790041096	-0.221592685130145	-54.1992492814281
chr18	28707289	28707404	116	8	0.476273908466002	0.135172240683294	0.341101667782708	54.0987621009708
chr20	14925814	14926123	310	9	0.0620002840059257	0.36488722209894	-0.302886938093015	-54.0033141472362
chr9	31161361	31162002	642	11	0.271649216538357	0.622795488483505	-0.351146271945148	-53.9481841010036
chr8	49798145	49798709	565	11	0.0889508098829986	0.349155966997322	-0.260205157114323	-53.8597092534707
chr4	22336194	22336514	321	10	0.2924377274296	0.0703653595786235	0.222072367850976	53.690172054962
chr28	14939573	14939848	276	10	0.693418753689189	0.426764629089955	0.266654124599234	53.6458270233718
chr20	29368194	29368279	86	7	0.528375995928731	0.088140274030909	0.440235721897822	53.5209330003699
chr4	7079480	7079865	386	11	0.652847286088162	0.350332095448278	0.302515190639884	53.4432991676007
chr7	16480971	16481339	369	11	0.656445836522105	0.860355215196375	-0.203909378674269	-53.4350273911017
chr12	19726769	19727063	295	10	0.18161784876037	0.00800580290680064	0.173612045853569	53.4148947269767
chr2	45527605	45527792	188	10	0.256329036548292	0.0608663260116531	0.195462710536639	53.3721863881853
chr9	35232129	35232650	522	9	0.357536759034207	0.0686597952199653	0.288876963814242	53.3559427953418
chr7	26463630	26463940	311	12	0.378162627033537	0.613605489878059	-0.235442862844522	-53.3071238157522
chr17	49954598	49954856	259	10	0.441864134329853	0.219834439226167	0.222029695103686	53.2033557380327
chr9	60165332	60165654	323	9	0.348629325981605	0.611829338834636	-0.263200012853031	-53.0543450171135
chr11	47155935	47156166	232	10	0.465077790507673	0.254041652749024	0.211036137758649	52.9969227321906
chr21	14386282	14386572	291	11	0.366775813250508	0.616015712430651	-0.249239899180142	-52.9724032201803
chr7	46338310	46338592	283	10	0.541923833574827	0.30252374356139	0.239400090013436	52.8442600002695
chr20	23433640	23434095	456	10	0.553690786738587	0.283346407629219	0.270344379109368	52.7977614733122
chr12	41969686	41969970	285	9	0.154600797198495	0.459122133909974	-0.304521336711479	-52.7235745594836
chr28	23288094	23288250	157	12	0.474558126808326	0.294883154628588	0.179674972179738	52.7166462632537
chr8	38336048	38336303	256	8	0.126026063378922	0.408868756713366	-0.282842693334444	-52.4827354142091
chr16	29950092	29950165	74	9	0.889000014777259	0.723010602989719	0.16598941178754	52.4412859937374
chr4	53206937	53207104	168	9	0.165257053364116	0.00801232302105757	0.157244730343058	52.285103346942
chr22	36249018	36249515	498	11	0.695818525499569	0.42002778565673	0.275790739842839	52.2729777457857
chr22	35867499	35867788	290	9	0.39755411720964	0.659219238716865	-0.261665121507225	-52.2513186235271
chr9	12084060	12084304	245	12	0.447266236855742	0.172818563798007	0.274447673057735	52.1912400383467
chr1	105810331	105810506	176	10	0.230454445555494	0.0663361873677017	0.164118258187792	52.1480247959706
chr15	24846056	24846226	171	9	0.0959714172866001	0.292911823598589	-0.196940406311989	-52.0431902521624
chr15	959000	959295	296	12	0.735369498602187	0.907592270316492	-0.172222771714305	-52.0255441382983
chr27	878649	878984	336	12	0.490365626608914	0.704310776761339	-0.213945150152425	-51.9649384681813
chr14	39731978	39732185	208	11	0.0610526215864382	0.234195364671079	-0.173142743084641	-51.9622527642127
chr1	121582486	121582701	216	9	0.311470615167947	0.0578716474448768	0.25359896772307	51.7942436307445
chr6	13452718	13453158	441	12	0.31048759280137	0.576918460966119	-0.26643086816475	-51.6532218309782
chr2	54804241	54804441	201	11	0.609257262908811	0.817435037900333	-0.208177774991521	-51.5830520171642
chr20	26035598	26035834	237	10	0.20602517576132	0.00774658195918413	0.198278593802136	51.5593290664455
chr11	32353166	32353781	616	10	0.406781898631969	0.121679084847533	0.285102813784436	51.5519832085084
chr7	2967808	2967982	175	13	0.36671550828531	0.0959139521458647	0.270801556139446	51.4987922559827
chr12	45629980	45630389	410	11	0.375726877754671	0.134421847441829	0.241305030312841	51.316576391875
chr13	3555094	3555340	247	9	0.181823240193527	0.0199206932336915	0.161902546959835	51.2964744992306
chr10	46954055	46954362	308	8	0.480058179823289	0.178990631215695	0.301067548607594	51.0278876910674
chr15	3557444	3557703	260	9	0.525816535015897	0.181767060169521	0.344049474846376	50.8335525798301
chr6	53113429	53113685	257	11	0.60523946170426	0.378480806084979	0.226758655619281	50.6763362726544
